Average Total Loss vs Iterations for Training
4.73118
4.61389
4.51909
4.44338
4.3838
4.3348
4.28926
4.24507
4.20287
4.16437
4.13021
4.09912
4.06964
4.04068
4.01092
3.97855
3.94345
3.91098
3.8829
3.85808
3.8352
3.81345
3.79236
3.77159
3.75068
3.72874
3.70487
3.68069
3.65853
3.63826
3.61883
3.59978
3.58098
3.56284
3.54568
3.52935
3.51361
3.49832
3.48336
3.46867
3.45423
3.43998
3.42589
3.41191
3.39797
3.38394
3.36967
3.35521
3.34112
3.32762
3.31445
3.30149
3.28869
3.27598
3.26331
3.2506
3.2378
3.22488
3.21201
3.19944
3.18727
3.17545
3.16387
3.15249
3.14127
3.13017
3.1192
3.10833
3.09756
3.08687
3.07628
3.06575
3.05529
3.04489
3.03452
3.02417
3.01382
3.00345
2.99309
2.98277
2.97259
2.96259
2.95278
2.94312
2.93359
2.92417
2.91483
2.90558
2.8964
2.8873
2.87825
2.86927
2.86034
2.85147
2.84265
2.83387
2.82514
2.81645
2.80779
2.79915
2.79051
2.78183
2.773
2.76376
2.75329
2.74054
2.7295
2.72076
2.71237
2.70412
2.69596
2.68788
2.67987
2.67191
2.66402
2.65618
2.64839
2.64064
2.63295
2.6253
2.6177
2.61014
2.60262
2.59514
2.5877
2.58029
2.57293
2.5656
2.55831
2.55106
2.54384
2.53666
2.5295
2.52239
2.5153
2.50825
2.50123
2.49425
2.48729
2.48036
2.47347
2.46661
2.45977
2.45297
2.44619
2.43944
2.43272
2.42603
2.41936
2.41272
2.40611
2.39952
2.39296
2.38642
2.3799
2.37341
2.36694
2.36048
2.35404
2.34762
2.34121
2.33481
2.3284
2.32199
2.31557
2.30911
2.3026
2.29604
2.28941
2.28273
2.27603
2.26939
2.26286
2.25646
2.25016
2.24396
2.23783
2.23177
2.22575
2.21978
2.21384
2.20795
2.20208
2.19625
2.19044
2.18467
2.17892
2.1732
2.1675
2.16183
2.15618
2.15056
2.14496
2.13938
2.13383
2.1283
2.12279
2.11731
2.11185
2.10641
2.10099
2.09559
2.09021
2.08486
2.07952
2.07421
2.06892
2.06364
2.05839
2.05316
2.04795
2.04275
2.03758
2.03243
2.02729
2.02218
2.01708
2.01201
2.00695
2.00191
1.99689
1.99189
1.9869
1.98194
1.97699
1.97206
1.96715
1.96225
1.95737
1.95251
1.94767
1.94284
1.93803
1.93323
1.92845
1.92369
1.91893
1.9142
1.90948
1.90477
1.90007
1.89539
1.89071
1.88605
1.8814
1.87675
1.87212
1.8675
1.86288
1.85828
1.85369
1.84912
1.84457
1.84003
1.83552
1.83103
1.82656
1.82212
1.8177
1.81329
1.80891
1.80455
1.8002
1.79587
1.79156
1.78726
1.78298
1.77871
1.77445
1.77021
1.76597
1.76174
1.75752
1.7533
1.74907
1.74483
1.74058
1.73629
1.73194
1.72752
1.72301
1.71843
1.71384
1.70934
1.70499
1.70076
1.69662
1.69254
1.68849
1.68448
1.68049
1.67651
1.67255
1.66861
1.66468
1.66076
1.65685
1.65294
1.64904
1.64514
1.64123
1.63731
1.63337
1.62941
