Array Size,Thurst time (s),Radix time (s)
8192,0.0999,6.66624
16384,0.1861,6.81165
32768,0.2956,8.82688
65536,0.5958,8.91085
131072,2.0451,8.72038
262144,2.5185,20.4155
524288,5.2442,23.1711
1048576,11.4062,32.2437
2097152,46.9382,47.7215
4194304,96.8658,82.6184
8388608,185.727,151.17
16777216,366.025,297.516
33554432,737.99,576.423
67108864,1433.94,1139.01
134217728,2903.01,2270.33
16,0.0025,7.06048
32,0.0044,9.10643
64,0.0034,5.79994
128,0.0195,5.91258
256,0.0181,8.25958
512,0.0058,6.2167
1024,0.0286,6.77069
2048,0.0238,6.6775
4096,0.1366,6.84339
8192,0.0751,6.48704
16384,0.2883,6.76966
32768,0.2904,7.13216
65536,0.7458,10.1929
131072,1.3796,9.96864
262144,3.2819,18.8436
524288,5.227,23.9667
1048576,10.571,31.2842
2097152,46.2437,49.109
4194304,89.8445,83.583
8388608,185.717,152.531
16777216,363.216,291.168
33554432,734.841,574.269
67108864,1447.57,1137.01
134217728,2911.64,2257.57
16,0.0027,6.74202
32,0.0047,6.05286
64,0.0085,7.13626
128,0.0039,7.65542
256,0.0171,7.13728
512,0.0144,6.90586
1024,0.0092,7.9616
2048,0.0237,7.37894
4096,0.0455,7.94419
8192,0.0727,7.37485
16384,0.183,7.38099
32768,0.2838,5.66682
65536,0.6274,6.91098
131072,1.2615,10.0239
262144,2.9446,19.4335
524288,5.1935,25.6
1048576,10.4826,33.5442
2097152,46.2779,49.3302
4194304,92.1948,84.2506
8388608,189.222,154.936
16777216,366.019,298.891
33554432,730.158,578.546
67108864,1456.5,1131.67
134217728,2898.22,2268.84
16,0.0026,7.25299
32,0.0069,6.9161
64,0.0075,6.76454
128,0.0095,7.4793
256,0.0239,7.26733
512,0.0103,7.1127
1024,0.0098,7.59296
2048,0.0236,7.51923
4096,0.0445,7.75782
8192,0.1454,6.79936
16384,0.2922,5.5767
32768,1.287,6.8864
65536,0.6231,7.74656
131072,1.2927,10.8882
262144,2.8384,19.4755
524288,5.1454,23.8469
1048576,10.852,31.1828
2097152,44.5099,48.4936
4194304,99.7367,82.7372
8388608,191.158,152.316
16777216,398.534,290.075
33554432,782.012,575.435
67108864,1457.42,1141.22
134217728,2900.47,2278.65
16,0.0027,8.03533
32,0.0048,6.88538
64,0.0049,7.39738
128,0.0225,7.19155
256,0.0371,8.32512
512,0.0141,5.57261
1024,0.022,7.48339
2048,0.0229,7.60422
4096,0.0449,7.66362
8192,0.1331,5.1456
16384,0.1511,7.64314
32768,0.2811,7.85306
65536,0.5887,7.80698
131072,1.2516,8.35891
262144,2.6829,19.328
524288,5.6604,23.8746
1048576,10.8225,33.0762
2097152,43.82,49.9937
4194304,92.8502,81.8985
8388608,185.847,153.386
16777216,354.827,295.179
33554432,722.205,578.253
67108864,1448.38,1137.77
134217728,2899.35,2272.39
16,0.0027,7.53869
32,0.0027,6.71539
64,0.0074,9.33376
128,0.0061,7.4967
256,0.014,6.9335
