Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),
33554432,85.2546,90.7799,470.385,441.129
67108864,175.41,177.88,941.828,887.699
134217728,353.388,350.317,1879.06,1772.2
268435456,705.359,697.939,3732.8,3549.53
16,0.0001,0.0002,0.66048,1.11309
32,0.0002,0.0003,0.883712,0.973824
64,0.0005,0.0004,0.781312,0.886784
128,0.0009,0.0005,1.0455,1.01376
256,0.0009,0.001,0.838656,0.909312
512,0.0029,0.0016,0.914432,0.904192
1024,0.0027,0.0031,0.968704,0.930816
2048,0.0054,0.0058,0.971776,0.9472
4096,0.0107,0.0308,1.86266,1.00966
8192,0.0247,0.0271,1.18374,1.06086
16384,0.0409,0.0595,1.25645,1.19603
32768,0.1572,0.103,1.51142,1.94458
65536,0.1739,0.24,2.0224,2.29171
131072,0.4716,0.3956,3.23789,3.56966
262144,0.7384,0.8842,5.47942,5.4999
524288,1.3065,1.7636,8.97741,9.40544
1048576,2.6951,3.0638,15.9416,16.8909
2097152,5.3498,5.6796,30.1455,29.0007
4194304,10.9418,12.6395,58.3844,55.8602
8388608,21.1254,23.1501,117.873,110.323
16777216,47.0937,45.4258,233.564,220.731
33554432,85.6237,88.7791,474.811,447.797
67108864,170.498,175.437,944.226,888.333
134217728,352.365,350.883,1876.26,1773.79
268435456,700.088,704.486,3757.03,3539.98
16,0.0001,0.0002,0.841728,1.08442
32,0.0005,0.0002,0.802816,0.961536
64,0.0002,0.0003,0.908288,0.920576
128,0.0009,0.0006,0.801792,1.05267
256,0.0014,0.0012,1.16224,1.19808
512,0.0026,0.002,0.920576,1.08851
1024,0.0053,0.0032,1.11821,1.98246
2048,0.0093,0.006,1.0025,0.797696
4096,0.0108,0.0113,0.868352,0.818176
8192,0.0227,0.0233,1.5319,1.25133
16384,0.0754,0.0786,1.16531,1.152
32768,0.0858,0.1649,1.34554,1.40186
65536,0.1687,0.2054,2.37466,2.64909
131072,0.3408,0.4954,3.52563,3.47648
262144,0.703,0.8779,4.84659,5.5081
524288,1.3549,1.5678,8.41216,8.99584
1048576,3.1548,3.0435,15.9724,16.6103
2097152,5.2919,6.1005,29.9704,29.6161
4194304,10.8271,11.5524,58.2943,59.9071
8388608,20.5866,23.6811,114.843,112.266
16777216,43.9057,44.4962,231.187,220.165
33554432,87.1507,89.0159,471.015,441.044
67108864,176.251,177.516,939.542,895.649
134217728,351.027,347.737,1878.85,1771.85
268435456,701.519,703.458,3748.34,3544.44
16,0.0001,0.0002,1.28307,1.07315
32,0.0003,0.0005,0.879616,0.795648
64,0.0005,0.0004,0.69632,1.17043
128,0.0143,0.0005,1.0455,0.790528
256,0.0008,0.0011,0.744448,0.794624
512,0.0021,0.0015,1.7449,0.774144
1024,0.0187,0.0033,0.753664,0.770048
2048,0.0055,0.0059,0.982016,0.82944
4096,0.02,0.0118,0.899072,0.83456
8192,0.048,0.0233,1.46944,0.871424
16384,0.0419,0.0471,1.10387,1.06189
32768,0.0836,0.144,1.69677,1.30662
65536,0.1704,0.185,1.88314,2.74534
131072,0.4321,0.3751,3.28397,3.30752
262144,0.6716,0.8304,5.17222,5.38829
524288,1.4215,2.0945,9.13408,10.8503
1048576,2.6703,3.0591,16.5396,16.5007
2097152,5.307,6.2642,29.7155,28.886
4194304,13.3021,11.237,57.7884,55.9227
8388608,22.7729,23.7597,114.998,109.688
16777216,44.0914,49.4265,231.955,221.444
33554432,89.4414,88.7111,462.702,442.812
67108864,173.668,178.444,939.082,885.897
134217728,351.713,350.311,1873.47,1773.64
268435456,703.771,705.273,3732.25,3536.26
16,0.0001,0.0001,0.714752,1.05267
32,0.0004,0.0002,1.07418,0.899072
64,0.0002,0.0003,0.80384,0.898048
128,0.0004,0.0006,0.722944,0.776192
256,0.0016,0.0011,1.4377,0.831488
512,0.0029,0.0018,0.740352,0.792576
1024,0.0083,0.0032,0.920576,0.930816
2048,0.0084,0.006,0.893952,1.17658
4096,0.0195,0.0123,0.966656,1.3353
8192,0.0217,0.0244,1.21344,2.33779
16384,0.0429,0.0466,1.08646,1.08954
32768,0.0887,0.1048,1.71418,1.42438
65536,0.1814,0.2051,1.88621,2.98496
131072,0.3444,0.3807,2.7095,3.31571
262144,0.6869,0.8745,5.46611,5.47021
524288,1.7123,1.5778,8.22374,8.90266
1048576,2.6708,2.9417,15.7614,16.3891
2097152,5.2299,7.3399,29.8435,29.7441
4194304,12.2155,11.5123,57.8058,56.5279
8388608,24.6636,24.5728,115.676,109.785
16777216,42.5757,49.3065,235.234,222.225
33554432,88.5964,88.0146,471.652,442.769
67108864,175.743,179.73,937.299,883.315
134217728,351.119,348.992,1887.29,1773.87
268435456,713.69,697.639,3734.08,3545.95
16,0.0164,0.0001,0.828416,1.12333
32,0.0004,0.0003,0.900096,1.03936
64,0.0004,0.0006,0.684032,0.771072
128,0.0008,0.0005,0.941056,0.807936
256,0.0013,0.0011,0.734208,0.920576
512,0.0028,0.0016,0.864256,0.838656
1024,0.0053,0.0036,1.10182,1.27283
2048,0.006,0.0065,1.23187,0.802816
4096,0.0118,0.0123,1.1223,1.50323
8192,0.033,0.0286,1.05574,0.904192
16384,0.0425,0.047,1.93434,0.985088
32768,0.0835,0.1097,1.29536,1.22778
65536,0.1719,0.2003,1.72646,2.27533
131072,0.4691,0.3921,3.05766,3.97926
262144,0.8075,0.7683,4.77286,5.58899
524288,1.4266,1.6024,8.94464,10.3475
1048576,2.6639,3.0138,15.7645,16.6595
2097152,5.7053,5.833,30.1681,29.5178
4194304,11.1607,11.4598,58.3977,57.8038
8388608,21.0557,22.8168,114.877,109.398
16777216,46.3328,46.3738,237.275,221.256
33554432,85.528,89.4309,469.209,444.637
67108864,174.924,175.108,938.074,881.39
134217728,349.031,353.938,1878.28,1767.43
268435456,698.31,702.573,3763.14,3534.49
16,0.0002,0.0002,1.32915,0.999424
32,0.0002,0.0001,0.87552,1.23085
64,0.0003,0.0003,1.10182,1.05165
128,0.0006,0.0005,0.892928,1.08442
256,0.0015,0.0011,0.900096,0.94208
512,0.0028,0.0016,0.909312,1.20934
1024,0.005,0.0035,0.925696,1.06496
2048,0.0055,0.0062,1.36602,1.03629
4096,0.0119,0.0148,1.1264,1.10285
8192,0.021,0.0267,0.955392,0.913408
16384,0.0622,0.0469,1.12947,1.06803
32768,0.091,0.1104,1.29638,1.31174
65536,0.173,0.2321,1.69574,2.27021
131072,0.3342,0.4252,2.98803,4.48211
262144,0.7082,0.8217,4.69504,5.23059
524288,1.358,1.6603,9.76691,8.68147
1048576,2.6104,3.0548,16.6963,16.1065
2097152,5.5767,5.7139,30.2909,29.9725
4194304,10.7427,11.2261,58.8913,55.7947
8388608,21.1969,24.4349,121.001,109.329
16777216,46.4821,45.1457,232.208,220.647
33554432,86.6729,90.788,468.433,444.699
67108864,170.812,175.276,938.404,889.642
134217728,349.427,349.828,1874.06,1770.12
268435456,707.097,707.316,3746.7,3536.41
16,0.0002,0.0003,0.878592,1.08851
32,0.0002,0.0002,0.866304,0.970752
64,0.0004,0.0003,1.12333,1.00454
128,0.0005,0.0005,0.96768,0.95232
256,0.0016,0.0011,0.731136,1.21754
512,0.0015,0.0018,1.85139,1.01376
1024,0.005,0.0029,0.935936,1.03629
2048,0.0055,0.0059,0.795648,1.59232
4096,0.0112,0.0116,1.04755,1.03936
8192,0.0223,0.0234,1.00557,0.98816
16384,0.0419,0.0448,1.37728,1.23802
32768,0.0837,0.0959,1.5616,1.39571
65536,0.1815,0.1872,1.83296,2.79757
131072,0.3292,0.3714,2.9225,3.77958
262144,0.6802,0.934,4.84147,5.96992
524288,1.4445,1.6955,8.80026,9.22624
1048576,2.896,2.8847,16.3471,15.7686
2097152,5.2725,6.0394,29.9663,30.7876
4194304,10.7029,11.595,58.4141,56.0159
8388608,21.2664,24.0679,117.986,109.614
16777216,43.8605,44.6281,233.266,218.981
33554432,84.0786,90.0335,466.438,444.183
67108864,174.146,176.738,939.48,883.841
134217728,346.784,348.484,1863.81,1776.23
268435456,709.063,698.513,3741.44,3560.45
16,0.0001,0.0002,0.729088,1.4295
32,0.0006,0.0003,1.85651,0.9216
64,0.0004,0.0004,1.2329,1.16531
128,0.0006,0.0007,1.08339,0.770048
256,0.0016,0.0011,0.735232,0.786432
512,0.0031,0.0018,0.751616,0.77312
1024,0.0031,0.0032,0.77312,0.882688
2048,0.0103,0.006,0.874496,0.864256
4096,0.0124,0.0117,1.00762,0.978944
8192,0.0209,0.0241,1.024,1.26157
16384,0.0878,0.0473,1.19501,1.00147
32768,0.0847,0.1101,1.408,1.17555
65536,0.1694,0.2222,1.76333,2.45453
131072,0.3351,0.3969,3.72429,3.25222
262144,0.6923,0.8708,4.81485,5.49376
524288,1.3049,1.7636,9.18733,9.37267
1048576,2.6803,2.9192,15.618,16.2959
2097152,5.383,5.9581,30.6995,29.0427
4194304,11.8313,12.5366,58.2042,55.4066
8388608,22.9676,24.7304,113.663,109.892
16777216,43.7907,47.0556,236.342,218.613
33554432,89.1462,88.3422,470.255,444.223
67108864,177.879,178.015,936.094,883.891
134217728,351.456,352.953,1886.11,1773.15
268435456,702.461,703.679,3739,3535.43
16,0.0001,0.0002,0.868352,0.955392
32,0.0003,0.0006,0.946176,1.21754
64,0.0006,0.0003,0.87552,1.01069
128,0.0004,0.0006,1.06189,1.40083
256,0.0008,0.0013,0.928768,1.06598
512,0.002,0.0018,1.02605,1.25338
1024,0.0215,0.0031,0.982016,0.87552
2048,0.0101,0.0062,1.10387,1.30048
4096,0.0193,0.0119,1.07315,0.937984
8192,0.0789,0.0542,1.20832,1.05574
16384,0.0937,0.0464,1.1735,1.17043
32768,0.0842,0.1236,1.42643,1.6087
65536,0.1796,0.2031,1.72032,2.52416
131072,0.3588,0.4703,2.75661,3.65261
262144,0.6762,0.8628,5.32173,5.71085
524288,1.395,1.5524,8.43878,9.8519
1048576,2.6687,3.314,16.47,15.9212
2097152,5.3089,7.3118,31.231,29.4799
4194304,10.4355,11.5582,59.1247,56.8617
8388608,22.203,22.107,112.886,110.909
16777216,42.7095,44.9727,234.684,220.475
33554432,86.2585,93.3107,474.32,445.386
67108864,175.737,176.314,946.712,898.761
134217728,342.322,351.198,1873.85,1769.12
268435456,707.67,697.964,3753.57,3536.58
16,0.0001,0.0002,0.959488,1.10285
32,0.0003,0.0002,1.09978,0.96768
64,0.0005,0.0004,1.17146,1.21037
128,0.0008,0.0005,0.940032,0.994304
256,0.0016,0.001,0.935936,0.954368
512,0.003,0.0017,0.87552,0.791552
1024,0.0049,0.0031,0.797696,0.804864
2048,0.0297,0.0057,1.13664,1.26362
4096,0.0139,0.028,1.16736,0.970752
8192,0.0208,0.0226,1.31891,0.889856
16384,0.0609,0.0461,1.29229,0.984064
32768,0.1781,0.1621,1.50221,1.2329
65536,0.1725,0.1983,1.77766,2.45146
131072,0.3481,0.4319,2.92762,3.25427
262144,0.6884,0.853,5.11181,6.26381
524288,1.411,1.5803,8.59443,9.01325
1048576,2.8144,2.931,16.2755,15.958
2097152,5.4253,6.2913,30.2766,29.3171
4194304,10.3794,11.8673,58.6189,56.5033
8388608,24.4788,22.7847,117.096,111.556
16777216,43.043,44.313,232.28,222.222
33554432,85.9505,91.1145,471.37,443.843
67108864,176.758,180.555,942.013,884.929
134217728,346.299,353.414,1876.44,1774.78
268435456,703.865,699.114,3750.31,3548.52
16,0.0001,0.0002,0.708608,1.77152
32,0.0002,0.0006,0.868352,1.30867
64,0.0003,0.0004,0.88576,1.24416
128,0.0009,0.0006,0.9728,0.892928
256,0.0012,0.001,0.804864,1.52166
512,0.0021,0.0016,0.8192,0.811008
1024,0.0236,0.0029,0.769024,1.00966
2048,0.0054,0.006,1.03936,0.86528
4096,0.0103,0.0116,0.854016,0.9472
8192,0.0214,0.0236,1.10797,0.974848
16384,0.0422,0.0456,1.0752,1.01786
32768,0.0846,0.1118,1.54317,1.21958
65536,0.173,0.2155,2.98189,2.34906
131072,0.3336,0.3927,3.65568,3.88198
262144,0.7211,0.8799,5.34528,5.98733
524288,1.6876,1.5722,8.68454,9.55392
1048576,2.6408,3.0161,15.6723,15.916
2097152,5.3873,6.5343,29.8281,29.8383
4194304,10.5054,11.0758,59.4104,57.7362
8388608,21.1817,23.5676,116.072,110.898
16777216,44.2905,44.5698,231.705,221.114
33554432,85.943,93.2397,465.101,443.262
67108864,173.673,178.331,940.293,884.385
134217728,350.476,350.661,1869.77,1775.81
268435456,700.164,698.743,3739.22,3540.36
16,0.0001,0.0002,1.21139,0.887808
32,0.0001,0.0003,0.746496,0.836608
64,0.0003,0.0003,0.877568,0.994304
128,0.0005,0.0006,0.881664,0.934912
256,0.0008,0.0011,0.920576,1.29741
512,0.0027,0.0017,0.980992,1.0793
1024,0.0039,0.0032,0.843776,0.797696
2048,0.0291,0.0062,0.828416,0.80896
4096,0.0109,0.012,1.55136,0.809984
8192,0.0215,0.0234,0.923648,0.900096
16384,0.0568,0.046,1.11718,1.82784
32768,0.0832,0.111,1.29229,1.38957
65536,0.1815,0.2309,1.93229,2.68493
131072,0.3453,0.3759,2.8713,3.44269
262144,0.687,1.0365,5.78867,5.70778
524288,1.3256,1.5848,9.37882,9.34502
1048576,3.4575,2.9803,16.1495,17.0844
2097152,5.227,6.0406,30.0728,29.3724
4194304,11.2147,13.5789,57.4935,55.8909
8388608,21.104,23.317,115.66,108.157
16777216,42.9064,43.5921,235.25,220.31
33554432,86.8779,88.2691,473.082,442.342
67108864,175.59,178.461,938.91,887.932
134217728,344.415,349.612,1885.06,1778.59
268435456,700.232,696.33,4396.55,3603.08
16,0.0001,0.0003,0.949248,1.21446
32,0.0002,0.0002,0.79872,1.01069
64,0.0003,0.0003,1.0711,1.02707
128,0.0004,0.0008,0.857088,0.863232
256,0.0008,0.0009,1.02093,1.59949
512,0.0017,0.0016,0.83968,0.831488
1024,0.0027,0.0036,1.2841,0.77824
2048,0.0266,0.0057,0.81408,0.904192
4096,0.0208,0.0118,1.29843,1.0025
8192,0.0235,0.0234,0.953344,1.03936
16384,0.0564,0.0593,1.25949,1.08749
32768,0.0898,0.0895,1.78278,1.28717
65536,0.1778,0.2945,2.05312,2.92659
131072,0.3507,0.3744,3.04435,3.48262
262144,0.7186,0.8395,5.18554,5.42413
524288,1.3552,1.5894,9.10336,9.20474
1048576,2.6385,3.0866,16.3226,16.428
2097152,5.2903,6.0682,37.3985,32.5458
4194304,10.6927,11.815,59.3582,67.6045
8388608,22.6672,23.02,135.122,108.562
16777216,46.1108,46.8495,241.24,225.119
33554432,85.0503,91.0357,475.632,454.894
67108864,191.271,190.869,978.084,898.64
134217728,369.516,368.655,1885.73,1792.91
268435456,716.176,707.166,3844.28,3582.44
16,0.0002,0.0003,0.910336,1.00147
32,0.0005,0.0003,0.848896,1.00966
64,0.0003,0.0003,1.39469,1.09158
128,0.0005,0.0005,0.925696,1.15302
256,0.0015,0.0174,1.27898,1.40186
512,0.0026,0.0016,1.08954,0.804864
1024,0.0029,0.003,0.867328,0.861184
2048,0.0095,0.0062,0.88064,0.932864
4096,0.0131,0.0112,0.857088,1.14893
8192,0.0443,0.0238,0.91136,0.930816
16384,0.0418,0.044,1.26669,1.01171
32768,0.082,0.1097,1.66298,1.34963
65536,0.1713,0.2141,2.20262,2.58355
131072,0.5232,0.4515,3.10784,3.28602
262144,0.7814,0.9899,5.00326,5.2736
524288,1.3401,1.6301,8.41523,9.39315
1048576,2.6983,3.3587,16.5233,16.9185
2097152,5.2171,5.8473,31.3426,29.3827
4194304,10.7075,11.8018,58.581,56.3333
8388608,21.6251,24.9649,115.78,111.567
16777216,43.9719,49.8613,235.582,223.969
33554432,91.0978,88.5712,472.408,451.887
67108864,178.642,175.427,948.15,892.854
134217728,355.734,361.461,1890.94,1786.12
268435456,740.628,741.901,3763.14,3566.78
16,0.0002,0.0002,0.84992,1.03731
32,0.0003,0.0003,0.830464,1.08851
64,0.0003,0.0005,0.789504,1.03936
128,0.0007,0.0008,0.856064,1.01376
256,0.0018,0.0011,0.846848,1.11411
512,0.0029,0.0019,0.897024,1.00762
1024,0.0028,0.0032,0.9984,1.03424
2048,0.0056,0.0064,1.04448,1.08339
4096,0.0107,0.0116,1.04346,1.45715
8192,0.0221,0.0263,1.0752,1.06394
16384,0.0605,0.0468,1.43974,1.54112
32768,0.1002,0.1125,1.37114,1.18682
65536,0.1646,0.2514,1.79098,2.59174
131072,0.3547,0.4523,3.35053,3.69766
262144,0.6471,0.8845,5.08006,5.54701
524288,1.3482,2.1698,8.56371,8.9856
1048576,2.6135,3.0946,16.2365,15.8863
2097152,7.2024,6.8354,30.7517,29.9653
4194304,11.8227,11.7752,60.7252,56.9825
8388608,24.1999,24.8787,116.346,112.372
16777216,46.4314,45.6448,232.614,232.3
33554432,83.9867,92.5079,465.392,452.856
67108864,185.945,183.811,951.25,892.789
134217728,383.485,373.281,1876.88,1793.12
268435456,744.263,733.446,3807.58,3555.42
16,0.0002,0.0002,0.692224,0.818176
32,0.0002,0.0002,1.39366,0.903168
64,0.0005,0.0004,0.974848,1.43258
128,0.0006,0.0005,0.863232,1.22061
256,0.0007,0.001,1.41005,0.766976
512,0.0016,0.0017,0.807936,1.35373
1024,0.0033,0.0031,0.845824,0.840704
2048,0.0245,0.0063,1.34554,0.796672
4096,0.0112,0.0119,0.937984,0.96256
8192,0.0222,0.0377,0.912384,1.51866
16384,0.0467,0.048,1.68032,1.52986
32768,0.0852,0.1092,1.37523,1.25542
65536,0.1908,0.2309,2.30912,2.7689
131072,0.3593,0.5174,2.98906,3.65773
262144,0.6683,0.9001,5.55315,5.56339
524288,1.3318,1.5163,8.6016,9.02144
1048576,2.7299,3.9506,15.7266,16.94
2097152,5.3239,6.0254,31.4849,29.8619
4194304,10.4438,11.3557,58.1837,56.193
8388608,21.9451,23.0287,117.005,109.9
16777216,46.2893,45.0412,233.969,220.294
33554432,86.3175,92.6062,468.331,446.129
67108864,174.958,189.463,951.943,887.13
134217728,368.314,365.473,1931.13,1793.7
268435456,750.606,737.714,3769.99,3551.85
16,0.0001,0.0002,0.9728,0.828416
32,0.0002,0.0002,0.717824,0.766976
64,0.0004,0.0006,0.78336,0.823296
128,0.0006,0.0006,0.771072,0.809984
256,0.0016,0.001,0.89088,0.835584
512,0.0016,0.0018,0.799744,1.34349
1024,0.0029,0.0031,0.827392,0.809984
2048,0.0054,0.0105,1.01581,0.794624
4096,0.0231,0.0118,0.903168,0.8448
8192,0.0219,0.0238,1.0281,0.874496
16384,0.056,0.047,1.11718,1.11206
32768,0.0826,0.0935,1.29126,1.28307
65536,0.2223,0.2314,1.68755,2.46067
131072,0.3599,0.4407,3.06893,3.79904
262144,1.0599,0.8898,5.10157,5.56237
524288,1.4622,2.0694,8.9856,9.06957
1048576,2.6387,3.1484,16.1505,15.9365
2097152,6.4564,5.732,30.2961,30.5592
4194304,10.7296,11.4505,57.7434,55.3789
8388608,22.4162,23.095,115.594,109.825
16777216,47.0075,46.7376,239.502,220.423
33554432,88.527,92.8298,471.31,440.515
67108864,171.022,179.678,940.627,882.406
134217728,347.354,351.04,1892.85,1788.01
268435456,721.039,723.637,3812.75,3595.58
16,0.0002,0.0002,0.750592,0.925696
32,0.0003,0.0002,0.804864,1.0711
64,0.0003,0.0003,0.871424,1.37728
128,0.0006,0.0006,0.80384,1.05062
256,0.0013,0.001,0.959488,0.996352
512,0.0024,0.0015,0.867328,1.07622
1024,0.0049,0.0035,1.26771,1.06189
2048,0.0095,0.0058,1.04141,1.04038
4096,0.1791,0.0115,1.15917,1.26874
8192,0.0584,0.0408,1.27488,1.82067
16384,0.0754,0.0787,1.21856,1.1008
32768,0.1057,0.1718,1.31277,1.21754
65536,0.165,0.1888,1.93536,2.82317
131072,0.3362,0.4398,3.05152,3.53997
262144,0.8445,0.8689,5.36474,6.72563
524288,1.3519,1.8787,8.9856,9.15456
1048576,2.9072,3.104,15.5924,15.4552
2097152,7.2401,5.8927,29.1482,28.9434
4194304,11.1294,11.9823,60.9147,59.8641
8388608,23.2812,22.3335,116.106,116.614
16777216,45.3039,45.0468,229.259,227.822
33554432,89.5576,93.5437,469.363,452.384
67108864,185.203,179.027,957.157,889.943
134217728,369.254,383.949,1891.72,1819.45
268435456,736.034,715.914,3795.23,3566.87
16,0.0001,0.0003,0.879616,1.02502
32,0.0002,0.0002,0.726016,0.944128
64,0.0003,0.0003,0.74752,1.2073
128,0.014,0.0006,0.91136,0.973824
256,0.001,0.0011,0.751616,1.32608
512,0.0016,0.0022,0.914432,1.10896
1024,0.0242,0.004,1.26669,0.995328
2048,0.0067,0.0075,0.856064,1.16634
4096,0.0197,0.0255,1.05165,0.932864
8192,0.0214,0.0225,1.02502,0.985088
16384,0.0688,0.0586,1.21856,1.39776
32768,0.083,0.0933,1.42541,1.34451
65536,0.1723,0.193,1.80429,2.57536
131072,0.3474,0.482,3.16211,3.61062
262144,0.6769,0.9241,4.95923,5.72928
524288,1.3505,1.6988,8.45312,9.52115
1048576,2.7724,4.1594,15.614,16.129
2097152,5.8294,5.9438,29.9766,29.4666
4194304,10.9456,11.6612,61.9459,55.5366
8388608,22.2763,24.5737,114.3,110.68
16777216,48.7276,44.826,249.142,226.191
33554432,92.6623,97.5941,472.394,457.048
67108864,176.209,179.95,946.636,894.687
134217728,356.808,358.837,1888.29,1776.44
268435456,706.225,718.63,3770.85,3584.62
16,0.0002,0.0002,0.919552,0.898048
32,0.0003,0.0002,0.72192,1.11718
64,0.0004,0.0003,1.13254,1.4592
128,0.0008,0.0005,0.99328,1.0793
256,0.0009,0.001,1.35987,0.991232
512,0.0026,0.0016,1.12333,1.01376
1024,0.0049,0.005,0.871424,1.06496
2048,0.0055,0.0059,0.951296,0.961536
4096,0.0114,0.0116,0.96256,1.17965
8192,0.0534,0.0235,1.08544,1.32608
16384,0.0457,0.0562,1.2544,1.17146
32768,0.1342,0.1246,1.46637,1.63635
65536,0.1695,0.2516,2.11763,2.96755
131072,0.3408,0.505,3.04435,4.25062
262144,0.6867,0.8793,5.2439,5.27053
524288,1.3535,1.518,9.01837,9.06342
1048576,2.662,3.0444,17.1284,16.7926
2097152,5.5299,6.2455,29.6919,29.0601
4194304,10.9316,14.0454,57.0644,55.6861
8388608,22.0226,24.8925,114.156,110.344
16777216,43.1261,48.1358,244.982,230.253
33554432,88.9781,91.2609,472.05,450.364
67108864,178.021,180.784,937.596,891.337
134217728,347.914,356.646,1883.64,1781.72
268435456,693.804,706.507,3739.89,3542.19
16,0.0001,0.0002,0.712704,0.84992
32,0.0003,0.0002,0.740352,0.831488
64,0.0004,0.0004,0.741376,0.825344
128,0.0007,0.0005,0.765952,0.790528
256,0.0008,0.0009,0.733184,0.781312
512,0.0026,0.0015,0.745472,0.756736
1024,0.0053,0.0032,0.781312,0.805888
2048,0.0096,0.0057,0.809984,0.872448
4096,0.0104,0.0111,0.846848,1.04141
8192,0.0226,0.0229,0.994304,1.05267
16384,0.0681,0.0445,1.08339,1.03526
32768,0.1231,0.0956,1.57798,1.23904
65536,0.1888,0.2079,1.97939,2.65626
131072,0.3433,0.54,2.80883,3.23789
262144,0.6702,0.7505,5.28589,5.68525
524288,1.343,1.5573,9.15866,9.12896
1048576,2.7128,3.0017,15.5085,15.4245
2097152,5.7421,5.6114,29.4359,29.5322
4194304,11.4643,11.5027,58.0526,56.6569
8388608,21.0198,23.6533,114.576,112.658
16777216,45.072,46.6837,234.25,219.957
33554432,85.2218,88.9079,471.615,441.621
67108864,175.051,178.321,942.649,893.935
134217728,351.525,359.131,1872.1,1773.66
268435456,690.183,708.749,3762.24,3541.03
16,0.0002,0.0002,1.57082,0.969728
32,0.0001,0.0002,0.93184,1.07827
64,0.0004,0.0004,0.994304,1.1223
128,0.0009,0.0006,0.828416,0.940032
256,0.0012,0.0011,0.863232,0.948224
512,0.0022,0.004,0.820224,1.0025
1024,0.0164,0.0033,1.27693,1.01888
2048,0.0061,0.0067,0.971776,1.06394
4096,0.0115,0.0118,0.837632,1.12435
8192,0.0342,0.0375,1.16531,1.06598
16384,0.0423,0.0456,1.16941,1.44179
32768,0.0886,0.0909,1.55546,1.64864
65536,0.1712,0.2171,1.92717,2.48627
131072,0.3873,0.3772,3.06483,3.91475
262144,0.6632,0.7851,5.5337,5.17018
524288,1.3593,1.6027,8.49101,9.9072
1048576,2.7161,2.9423,17.3025,16.9779
2097152,6.6871,7.0642,29.5987,29.5444
4194304,10.7791,11.6966,58.5626,55.3267
8388608,21.6848,22.5445,116.174,112.329
16777216,43.0374,46.087,231.52,219.94
33554432,87.0853,91.2358,469.637,440.995
67108864,177.783,177.71,936.03,885.3
134217728,356.385,351.197,1873.87,1770.51
268435456,701.888,709.403,3749.61,3533.31
16,0.0001,0.0002,0.703488,1.18784
32,0.0002,0.0002,0.681984,0.848896
64,0.0006,0.0003,1.02298,0.82432
128,0.0005,0.0005,0.764928,0.827392
256,0.0014,0.0011,0.771072,0.9216
512,0.0028,0.0017,0.878592,0.769024
1024,0.0034,0.0034,0.82944,0.7936
2048,0.008,0.0065,1.02707,0.884736
4096,0.0429,0.0128,0.97792,1.11411
8192,0.0248,0.0239,0.971776,1.02195
16384,0.0537,0.0466,1.20218,1.26464
32768,0.0817,0.1112,1.31174,1.24109
65536,0.1658,0.235,1.76538,2.43814
131072,0.3568,0.4812,2.88973,3.54406
262144,0.6851,0.8152,4.9664,6.74202
524288,1.4124,1.5343,8.94157,9.40954
1048576,2.5992,3.0069,15.959,16.0573
2097152,5.2308,5.6642,30.0872,30.0943
4194304,10.9045,11.7277,57.5928,58.2656
8388608,23.6722,24.0372,114.5,109.191
16777216,46.8247,44.6511,229.956,219.93
33554432,87.948,90.2759,465.519,443.19
67108864,189.137,187.937,960.672,900.63
134217728,350.955,350.389,1869.96,1783.44
268435456,706.693,704.719,3685.25,3545.3
16,0.0001,0.0002,0.714752,1.12128
32,0.0002,0.0003,0.724992,1.12333
64,0.0003,0.0003,1.01786,1.00147
128,0.0008,0.0005,0.789504,1.09568
256,0.0008,0.0013,0.857088,0.898048
512,0.0019,0.0017,0.816128,1.03936
1024,0.0028,0.0039,1.02912,1.01888
2048,0.0058,0.0198,1.33325,1.0281
4096,0.0109,0.0119,0.871424,1.0711
8192,0.0213,0.0371,1.15507,1.19194
16384,0.0436,0.0488,1.17043,1.47763
32768,0.0831,0.0959,1.34349,1.31072
65536,0.1751,0.2353,1.81555,2.2743
131072,0.3378,0.513,2.84877,4.15642
262144,0.6879,0.8297,5.04934,5.88083
524288,1.3283,1.5391,8.99379,9.10131
1048576,3.0175,2.9408,15.5894,15.4419
2097152,5.2775,5.751,30.2858,29.8271
4194304,11.5201,12.6888,57.0573,56.2575
8388608,22.5328,24.0229,114.134,109.668
16777216,42.3091,47.406,236.901,221.11
33554432,88.0426,89.9687,470.908,444.777
67108864,175.641,176.034,938.888,885.6
134217728,348.908,355.479,1884.8,1779.45
268435456,699.993,702.784,3735.53,3542.84
16,0.0002,0.0002,0.84992,0.874496
32,0.0004,0.0003,0.68608,0.831488
64,0.0005,0.0004,0.734208,0.86528
128,0.0005,0.0005,0.841728,0.836608
256,0.0011,0.0011,0.896,0.8192
512,0.0028,0.0018,1.02707,0.86528
1024,0.0056,0.0034,0.864256,1.0496
2048,0.0098,0.0061,1.01171,1.03117
4096,0.0111,0.0124,0.920576,1.37318
8192,0.0209,0.0228,1.31686,1.16122
16384,0.0948,0.0454,1.14995,1.16224
32768,0.111,0.1464,1.52166,1.64557
65536,0.1703,0.1855,1.77971,2.67366
131072,0.3508,0.3924,2.85594,3.6311
262144,0.7105,0.892,5.4313,5.62278
524288,1.3744,1.6895,8.55859,9.44742
1048576,3.2414,2.9021,15.5638,15.7594
2097152,5.2771,6.0126,30.4538,28.4611
4194304,12.2937,11.9244,59.435,58.5933
8388608,23.338,22.8811,113.743,108.47
