Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),
1048576,2.7688,2.9394,16.1331,15.8843
2097152,5.1949,5.746,29.7073,29.0847
4194304,10.3327,10.8921,58.2011,56.2903
8388608,25.4277,23.6599,115.249,108.442
16777216,47.6861,48.126,235.572,221.498
33554432,86.5501,90.3424,475.481,445.263
67108864,169.242,175.198,947.639,891.921
134217728,388.429,381.24,1886.36,1804.83
268435456,706.963,708.391,3762.98,3541.94
16,0.0001,0.0002,1.41005,1.28614
32,0.0002,0.0004,0.76288,0.905216
64,0.0003,0.0004,1.18067,1.03322
128,0.0009,0.0005,1.19501,1.60358
256,0.0014,0.001,0.924672,1.13664
512,0.0016,0.0018,0.937984,1.37011
1024,0.006,0.0038,1.62304,1.0496
2048,0.006,0.0065,1.07418,1.01376
4096,0.0118,0.0129,1.18579,1.30765
8192,0.0228,0.0256,1.14995,1.23597
16384,0.0579,0.0838,1.42131,1.29741
32768,0.0875,0.1444,1.96608,1.66093
65536,0.1736,0.2161,2.23437,2.61632
131072,0.4,0.4425,3.0423,3.57786
262144,0.7121,0.8244,5.39546,5.96582
524288,1.3757,1.4242,8.42138,9.10131
1048576,3.2912,2.7981,15.4501,15.7932
2097152,5.4003,6.0586,30.5992,29.7318
4194304,11.9626,11.6898,58.4571,55.7169
8388608,21.0037,23.2416,117.109,113.362
16777216,43.5806,46.0699,232.41,219.244
33554432,90.6363,88.4112,468.296,445.396
67108864,174.219,176.887,942.114,892.832
134217728,350.27,349.369,1889.28,1771.63
268435456,702.739,696.806,3743.54,3546.91
16,0.0002,0.0002,0.975872,0.996352
32,0.0003,0.0002,0.785408,1.08237
64,0.0002,0.0004,0.841728,1.04038
128,0.0008,0.0005,0.946176,1.0496
256,0.0008,0.0011,0.842752,1.34758
512,0.002,0.002,0.891904,1.06496
1024,0.0032,0.003,0.93696,1.11002
2048,0.0058,0.0059,1.12845,1.03219
4096,0.011,0.0118,1.16326,0.86016
8192,0.036,0.0533,1.03219,1.52269
16384,0.0525,0.047,1.52986,1.43974
32768,0.0845,0.0927,1.32506,1.1817
65536,0.1757,0.1969,1.72851,2.69312
131072,0.6564,0.4237,3.75501,3.3024
262144,0.6551,0.8665,4.87219,5.32378
524288,1.472,1.5584,8.45619,9.02963
1048576,2.6178,2.9302,15.7512,16.001
2097152,5.2685,5.9883,29.8527,30.0861
4194304,11.2574,13.0451,58.2267,59.0971
8388608,21.5827,22.297,117.027,110.078
16777216,44.7539,44.3484,232.138,220.806
33554432,86.5369,91.6488,464.787,442.461
67108864,171.779,175.382,942.983,888.583
134217728,348.409,351.256,1875.07,1772.67
268435456,699.981,694.578,3739.44,3542.08
16,0.0001,0.0002,1.04038,1.14074
32,0.0002,0.0002,0.668672,0.848896
64,0.0004,0.0004,0.791552,0.831488
128,0.001,0.0005,0.707584,0.795648
256,0.0016,0.0011,0.7424,1.46842
512,0.003,0.0017,0.873472,1.21446
1024,0.0059,0.0033,0.812032,0.769024
2048,0.008,0.0061,0.818176,0.806912
4096,0.0204,0.0116,0.939008,0.822272
8192,0.0224,0.023,0.920576,0.87552
16384,0.0605,0.0456,1.08237,0.995328
32768,0.0967,0.1126,1.31277,1.30662
65536,0.1793,0.205,2.05517,2.28659
131072,0.3494,0.3753,2.9655,3.96083
262144,0.7593,0.7224,5.1456,6.0119
524288,1.4812,1.7823,8.57498,9.14022
1048576,2.7046,2.9014,15.7972,15.7757
2097152,5.9248,7.2446,30.2459,29.3868
4194304,12.0803,10.8564,57.558,56.448
8388608,24.0132,21.9505,115.867,110.95
16777216,44.319,47.5296,236.408,220.194
33554432,93.1337,87.9637,469.579,442.25
67108864,173.833,178.376,940.729,885.425
134217728,349.748,343.863,1885.58,1766.93
268435456,705.945,703.423,3742.01,3533.57
16,0.0001,0.0002,1.05062,1.07008
32,0.0003,0.0003,0.871424,1.0537
64,0.0005,0.0004,0.98816,0.928768
128,0.001,0.0008,0.842752,1.15302
256,0.0016,0.001,0.866304,1.34042
512,0.002,0.0017,0.741376,1.15405
1024,0.0029,0.0032,1.01786,1.14483
2048,0.0066,0.0067,0.974848,1.19706
4096,0.0112,0.0123,1.39878,0.941056
8192,0.0208,0.0235,0.948224,0.859136
16384,0.0631,0.0453,1.0793,1.28922
32768,0.1041,0.1109,1.29024,1.20013
65536,0.2174,0.2007,1.92307,2.52723
131072,0.3363,0.3747,3.10989,3.35667
262144,0.6972,0.8964,5.97811,5.26848
524288,1.6194,1.5468,8.56064,8.86682
1048576,2.6442,2.8933,16.1618,16.7465
2097152,5.8899,5.8858,29.5608,29.8711
4194304,11.4259,12.9874,59.223,56.1213
8388608,21.1752,23.6447,115.707,111.031
16777216,46.0976,44.7818,231.73,220.986
33554432,90.5909,88.3879,471.377,444.675
67108864,171.884,180.085,943.246,888.365
134217728,347.548,348.425,1871.18,1778.94
268435456,704.235,700.476,3764.57,3554.62
16,0.0002,0.0002,1.84013,1.04448
32,0.0002,0.0002,0.786432,0.995328
64,0.0003,0.0003,0.898048,1.33427
128,0.001,0.0007,1.16429,1.00864
256,0.0016,0.0012,1.03219,1.08646
512,0.0029,0.0022,0.984064,0.939008
1024,0.0052,0.0037,0.864256,0.787456
2048,0.0289,0.0064,0.93184,0.852992
4096,0.0107,0.0125,0.852992,0.8192
8192,0.0209,0.0229,1.11411,0.935936
16384,0.0553,0.0435,1.14483,1.18374
32768,0.1187,0.1104,1.80326,1.2544
65536,0.1705,0.1865,1.82784,2.51392
131072,0.3658,0.4237,2.90406,3.37306
262144,0.726,0.8171,4.76672,6.29555
524288,1.3776,1.5302,9.06342,9.95021
1048576,2.7794,2.9604,16.3215,17.5555
2097152,5.3395,5.8357,29.5301,30.0534
4194304,11.0735,12.4103,58.8974,57.5048
8388608,21.5245,22.3664,116.71,109.811
16777216,44.5499,45.1582,234.05,221.048
33554432,88.0702,92.7766,466.349,442.545
67108864,176.132,174.739,934.026,890.865
134217728,346.402,348.588,1889.99,1777.51
268435456,702.756,695.344,3755.06,3557.06
16,0.0001,0.0002,0.648192,1.17555
32,0.0002,0.0003,0.672768,1.13766
64,0.0006,0.0002,0.934912,0.758784
128,0.0005,0.0005,0.761856,0.77824
256,0.0008,0.001,0.781312,0.851968
512,0.0016,0.0021,1.1008,1.28717
1024,0.0031,0.0034,0.928768,1.46739
2048,0.0108,0.0063,1.02707,1.04038
4096,0.0109,0.0115,1.38138,0.985088
8192,0.0405,0.023,0.920576,1.11206
16384,0.0605,0.0466,1.14995,1.00557
32768,0.0839,0.1089,1.31482,1.97018
65536,0.1788,0.2796,1.72954,2.39514
131072,0.3593,0.395,3.50925,3.19386
262144,0.6974,0.9396,5.4231,5.39238
524288,1.5783,1.5955,8.57293,8.99379
1048576,2.7766,2.917,16.6257,15.6856
2097152,6.9115,6.0113,30.5295,30.3524
4194304,10.9061,12.1766,59.2589,57.0368
8388608,24.765,22.7108,112.6,110.267
16777216,45.587,49.187,232.283,221.378
33554432,87.9968,88.9858,464.319,445.341
67108864,170.591,177.91,936.6,883.924
134217728,350.451,346.326,1866,1777.65
268435456,704.275,696.252,3724.92,3554.44
16,0.0001,0.0002,0.831488,1.17555
32,0.0006,0.0003,0.909312,1.2544
64,0.0006,0.0006,0.830464,1.19808
128,0.001,0.0007,1.18784,0.881664
256,0.0016,0.0011,0.940032,0.96768
512,0.0028,0.0016,0.795648,0.979968
1024,0.0032,0.0032,0.94208,1.06803
2048,0.0245,0.0061,1.1223,1.05779
4096,0.0213,0.0114,0.995328,0.990208
8192,0.0524,0.0275,0.980992,1.16634
16384,0.043,0.0484,1.14278,1.13869
32768,0.0843,0.107,1.34246,1.2544
65536,0.1687,0.208,2.2999,2.72589
131072,0.3413,0.3855,3.32288,3.32595
262144,0.7029,0.9122,5.06778,5.76922
524288,1.3716,1.801,8.96205,9.984
1048576,2.8923,2.9367,15.6785,16.1331
2097152,5.4973,5.9555,29.8179,29.9817
4194304,12.4048,12.2458,58.6916,57.0327
8388608,22.6855,28.0363,114.204,111.748
16777216,42.5056,45.99,235.581,221.454
33554432,91.4573,87.6313,471.448,442.631
67108864,171.863,176.13,941.172,888.566
134217728,347.607,352.201,1880.8,1776.96
268435456,699.286,700.172,3729.01,3532.69
16,0.0001,0.0002,0.840704,0.905216
32,0.0002,0.0002,0.869376,1.04038
64,0.0003,0.0006,0.976896,1.04038
128,0.0004,0.0006,0.918528,1.01786
256,0.0013,0.001,1.13459,0.781312
512,0.0018,0.0016,0.738304,2.02342
1024,0.0033,0.0031,1.16122,0.77824
2048,0.0055,0.0073,1.02912,1.76026
4096,0.0112,0.012,1.08749,0.85504
8192,0.0207,0.0221,1.06701,1.16019
16384,0.0404,0.0452,1.15302,1.18067
32768,0.0873,0.1089,1.48685,1.6343
65536,0.1704,0.1863,1.88518,2.67366
131072,0.3376,0.3746,2.7136,3.44576
262144,0.6849,0.7351,5.32685,6.41638
524288,1.3323,1.4731,8.48998,8.98355
1048576,2.7788,3.0283,16.0758,16.6738
2097152,5.1421,5.9753,30.2664,30.2244
4194304,11.1266,11.596,60.8287,56.873
8388608,22.2664,22.1651,116.485,112.04
16777216,45.0504,47.2775,233.91,220.87
33554432,86.3016,94.0061,468.41,448.681
67108864,185.786,183.147,953.693,886.246
134217728,364.954,362.039,1868.87,1773.96
268435456,698.632,697.684,3763.42,3549.01
16,0.0001,0.0002,0.933888,1.51859
32,0.0002,0.0002,0.86528,1.08544
64,0.0004,0.0004,0.918528,0.969728
128,0.0008,0.0005,0.892864,1.02912
256,0.0015,0.001,1.0025,1.03526
512,0.0028,0.0019,0.8704,1.35782
1024,0.0028,0.003,0.929792,0.796672
2048,0.0053,0.006,0.809984,1.36909
4096,0.0107,0.0123,0.850944,1.23085
8192,0.021,0.0234,0.934912,1.28512
16384,0.0414,0.0775,1.2247,1.08134
32768,0.0894,0.1184,1.32096,1.64045
65536,0.178,0.1883,2.08486,3.03309
131072,0.5051,0.6683,2.72179,3.38534
262144,0.6481,1.7728,5.39853,6.37645
524288,1.4398,1.6209,8.53094,8.73472
1048576,2.5995,2.9858,16.2417,16.7301
2097152,5.2765,5.8178,29.6622,30.4087
4194304,10.7966,12.4518,58.2052,56.6497
8388608,21.5873,23.8922,115.253,109.244
16777216,42.9272,45.637,235.208,223.449
33554432,84.9409,92.2917,467.352,442.131
67108864,171.115,177.181,933.71,888.775
134217728,380.22,349.592,1878.85,1774.3
268435456,698.127,707.379,3746.65,3553.89
16,0.0001,0.0002,0.649216,0.871424
32,0.0004,0.0002,0.722944,1.03014
64,0.0005,0.0004,0.740352,0.787456
128,0.0009,0.0006,0.989184,0.78336
256,0.0146,0.0011,0.863232,0.795648
512,0.0029,0.0018,0.813056,0.93184
1024,0.0056,0.0036,0.929792,0.835584
2048,0.0109,0.0068,0.85504,0.792576
4096,0.0201,0.0128,1.1735,1.34246
8192,0.0264,0.0248,0.96256,0.86528
16384,0.0571,0.048,1.12435,1.26259
32768,0.0871,0.0945,1.41312,1.23904
65536,0.1776,0.1913,1.72544,3.01875
131072,0.3479,0.4218,2.78426,4.0663
262144,0.6925,0.9208,5.1456,5.51219
524288,2.7075,1.5265,8.49818,9.22624
1048576,2.618,2.8969,15.9273,16.1157
2097152,5.6404,5.957,30.5859,30.8961
4194304,11.5857,12.6147,59.8333,57.3901
