13,0.172032
29,0.177152
61,0.307232
125,0.19456
253,0.221184
509,0.211968
1021,0.234464
2045,0.25088
4093,0.267296
8189,0.287744
16381,0.386048
32765,0.536576
65533,0.65632
131069,1.0537
262141,2.25283
524285,4.23936
1048573,7.98003
2097149,15.7261
4194301,32.8335
8388605,63.3057
16777213,128.479
33554429,254.301
67108861,513.441
13,0.162816
29,0.310272
61,0.1792
125,0.190464
253,0.18944
509,0.19968
1021,0.208896
2045,0.221184
4093,0.23552
8189,0.268288
16381,0.331776
32765,0.423936
65533,0.617472
131069,1.024
262141,2.06848
524285,4.63315
1048573,8.47766
2097149,15.5949
4194301,31.4044
8388605,61.8981
16777213,123.857
33554429,257.691
67108861,515.017
13,0.181248
29,0.16384
61,0.1792
125,0.146432
253,0.218112
509,0.202752
1021,0.280576
2045,0.218112
4093,0.503808
8189,0.268288
16381,0.330176
32765,0.48128
65533,0.647168
131069,1.23187
262141,2.28045
524285,3.84717
1048573,7.5505
2097149,15.6122
4194301,31.658
8388605,64.4387
16777213,125.498
33554429,255.076
67108861,509.624
13,0.159744
29,0.173056
61,0.178176
125,0.233472
253,0.191488
509,0.202752
1021,0.509952
2045,0.221184
4093,0.239616
8189,0.268288
16381,0.3232
32765,0.47616
65533,0.64
131069,1.02912
262141,2.22208
524285,3.81645
1048573,7.68205
2097149,15.3055
4194301,31.0414
8388605,63.1378
16777213,125.872
33554429,255.306
67108861,510.592
13,0.136192
29,0.191488
61,0.180224
125,0.22016
253,0.187392
509,0.197632
1021,0.27648
2045,0.217088
4093,0.241664
8189,0.270336
16381,0.321024
32765,0.420864
65533,0.618496
131069,1.04653
262141,2.06848
524285,3.83181
1048573,8.33706
2097149,15.8243
4194301,32.6072
8388605,63.6659
16777213,125.981
33554429,253.542
67108861,514.055
13,0.18944
29,0.166912
61,0.17408
125,0.191488
253,0.19456
509,0.211968
1021,0.49664
2045,0.219136
4093,0.672768
8189,0.269312
16381,0.324608
32765,0.423936
65533,0.625664
131069,1.02093
262141,2.03571
524285,3.8377
1048573,7.61187
2097149,15.5402
4194301,30.7869
8388605,62.4769
16777213,126.079
33554429,253.889
67108861,512.935
13,0.160768
29,0.166912
61,0.178176
125,0.183296
253,0.190464
509,0.208896
1021,0.262144
2045,0.221184
4093,0.294912
8189,0.268288
16381,0.360448
32765,0.816128
65533,0.664352
131069,1.02605
262141,2.10637
524285,3.82054
1048573,7.56736
2097149,16.439
4194301,30.6903
8388605,63.6481
16777213,126.809
33554429,254.475
67108861,510.529
13,0.223232
29,0.171008
61,0.188416
125,0.246784
253,0.214016
509,0.201728
1021,0.237568
2045,0.252928
4093,0.233472
8189,0.284672
16381,0.324608
32765,0.41984
65533,0.654336
131069,1.04755
262141,2.07974
524285,3.84698
1048573,7.60192
2097149,15.8607
4194301,32.0266
8388605,62.3984
16777213,125.463
33554429,254.163
67108861,514.568
13,0.201728
29,0.152576
61,0.200704
125,0.387072
253,0.191488
509,0.257024
1021,0.239616
2045,0.221184
4093,0.311296
8189,0.277504
16381,0.309248
32765,0.42496
65533,0.664576
131069,1.02605
262141,2.47398
524285,3.82259
1048573,7.56381
2097149,15.6197
4194301,31.2812
8388605,63.0618
16777213,127.059
33554429,254.077
67108861,510.028
13,0.139264
29,0.228352
61,0.224256
125,0.183296
253,0.197632
509,0.2048
1021,0.555008
2045,0.290816
4093,0.27648
8189,0.273408
16381,0.413696
32765,0.434912
65533,0.623616
131069,1.03936
262141,2.55795
524285,4.14413
1048573,7.77011
2097149,16.9481
4194301,32.7535
8388605,62.447
16777213,126.82
33554429,250.888
67108861,513.397
13,0.140288
29,0.16384
61,0.1792
125,0.190464
253,0.212992
509,0.203776
1021,0.246784
2045,0.249856
4093,0.234496
8189,0.269312
16381,0.325632
32765,0.458752
65533,0.620544
131069,1.03424
262141,2.03469
524285,3.82566
1048573,7.57651
2097149,16.2956
4194301,30.5306
8388605,62.8396
16777213,126.913
33554429,253.385
67108861,516.188
13,0.166912
29,0.171008
61,0.191488
125,0.191488
253,0.154624
509,0.19968
1021,0.23552
2045,0.22016
4093,0.259072
8189,0.268288
16381,0.335872
32765,0.421888
65533,0.643072
131069,1.01786
262141,2.18419
524285,3.83078
1048573,7.55814
2097149,15.7182
4194301,35.8431
8388605,61.4039
16777213,126.335
33554429,255.629
67108861,512.748
13,0.126976
29,0.191488
61,0.211968
125,0.18432
253,0.19456
509,0.207872
1021,0.208896
2045,0.239616
4093,0.26624
8189,0.275456
16381,0.32768
32765,0.41984
65533,0.636928
131069,1.02912
262141,2.1289
524285,3.84032
1048573,7.68819
2097149,15.3149
4194301,30.7586
8388605,62.1967
16777213,126.823
33554429,253.733
67108861,509.493
13,0.214016
29,0.493568
61,0.190464
125,0.183296
253,0.16384
509,0.201728
1021,0.2304
2045,0.219136
4093,0.265216
8189,0.268288
16381,0.338944
32765,0.438272
65533,0.615424
131069,1.01786
262141,2.05107
524285,3.83962
1048573,8.21853
2097149,16.3748
4194301,30.7948
8388605,61.6878
16777213,125.953
33554429,254.109
67108861,511.745
13,0.17408
29,0.183296
61,0.175104
125,0.187392
253,0.224256
509,0.2048
1021,0.232448
2045,0.2304
4093,0.23552
8189,0.270336
16381,0.324608
32765,0.459776
65533,0.616448
131069,1.02912
262141,2.0695
524285,3.75555
1048573,8.73149
2097149,15.8031
4194301,32.4422
8388605,62.3635
16777213,123.856
33554429,253.632
67108861,513.167
13,0.205824
29,0.166912
61,0.178176
125,0.187392
253,0.205824
509,0.2048
1021,0.231424
2045,0.233472
4093,0.234496
8189,0.335872
16381,0.330752
32765,0.433152
65533,0.643072
131069,1.05267
262141,2.03981
524285,3.8081
1048573,7.83907
2097149,15.4518
4194301,30.7844
8388605,62.338
16777213,125.271
33554429,254.702
67108861,512.52
13,0.18944
29,0.453632
61,0.234496
125,0.187392
253,0.192512
509,0.249856
1021,0.206848
2045,0.22528
4093,0.236544
8189,0.380928
16381,0.403456
32765,0.41984
65533,0.668672
131069,1.536
262141,2.58662
524285,3.85814
1048573,7.56669
2097149,15.5494
4194301,30.6606
8388605,62.5036
16777213,125.441
33554429,254.222
67108861,514.954
13,0.13824
29,0.211968
61,0.292864
125,0.169984
253,0.187392
509,0.19968
1021,0.232448
2045,0.22528
4093,0.23552
8189,0.283648
16381,0.328704
32765,0.422912
65533,0.664576
131069,1.59539
262141,2.9952
524285,4.13782
1048573,7.92368
2097149,16.1925
4194301,31.9905
8388605,62.4568
16777213,123.607
33554429,257.921
67108861,511.514
13,0.177152
29,0.1792
61,0.221184
125,0.195584
253,0.228352
509,0.224256
1021,0.231424
2045,0.339968
4093,0.239616
8189,0.270336
16381,0.356352
32765,0.405504
65533,0.62976
131069,1.0752
262141,2.03878
524285,3.83683
1048573,7.56006
2097149,15.3057
4194301,31.0034
8388605,63.3569
16777213,126.289
33554429,257.183
67108861,524.993
13,0.178176
29,0.190464
61,0.172032
125,0.182272
253,0.16896
509,0.195584
1021,0.24576
2045,0.221184
4093,0.234496
8189,0.295936
16381,0.324608
32765,0.41472
65533,0.886784
131069,1.03117
262141,2.09203
524285,4.16326
1048573,8.18147
2097149,15.703
4194301,34.6804
8388605,90.1407
16777213,136.279
33554429,255.286
67108861,515.047
13,0.169984
29,0.1792
61,0.180224
125,0.247808
253,0.190464
509,0.198656
1021,0.233472
2045,0.24064
4093,0.315392
8189,0.319488
16381,0.323584
32765,0.41984
65533,0.67584
131069,1.02195
262141,2.03162
524285,3.84614
1048573,8.07293
2097149,15.4614
4194301,32.6123
8388605,62.4448
16777213,126.238
33554429,253.666
67108861,512.896
13,0.201728
29,0.181248
61,0.177152
125,0.196608
253,0.203776
509,0.267264
1021,0.232448
2045,0.228352
4093,0.238592
8189,0.275456
16381,0.379904
32765,0.434176
65533,0.622592
131069,1.17965
262141,2.0265
524285,3.83898
1048573,7.87763
2097149,15.9568
4194301,30.9046
8388605,62.2638
16777213,126.015
33554429,253.71
67108861,514.523
13,0.140288
29,0.165888
61,0.173056
125,0.182272
253,0.190464
509,0.20992
1021,0.233472
2045,0.2304
4093,0.436224
8189,0.370688
16381,0.434176
32765,0.45568
65533,0.628736
131069,1.02195
262141,2.04698
524285,3.8417
1048573,8.10656
2097149,16.6892
4194301,32.1852
8388605,62.464
16777213,126.25
33554429,252.774
67108861,515.596
13,0.181248
29,0.180224
61,0.17408
125,0.185344
253,0.190464
509,0.202752
1021,0.289792
2045,0.2304
4093,0.269312
8189,0.27648
16381,0.345088
32765,0.519168
65533,0.654336
131069,1.0455
262141,2.04288
524285,3.82541
1048573,8.21862
2097149,15.4218
4194301,30.7978
8388605,62.3335
16777213,125.728
33554429,253.513
67108861,514.77
13,0.1792
29,0.185344
61,0.195584
125,0.181248
253,0.218112
509,0.210944
1021,0.227328
2045,0.217088
4093,0.253952
8189,0.26624
16381,0.318464
32765,0.4864
65533,0.61952
131069,1.02605
262141,2.6321
524285,3.83795
1048573,7.73286
2097149,15.6487
4194301,31.4364
8388605,63.2779
16777213,126.317
33554429,254.426
67108861,513.888
13,0.186368
29,0.126976
61,0.206848
125,0.188416
253,0.500736
509,0.283648
1021,0.234496
2045,0.219136
4093,0.242688
8189,0.267264
16381,0.316416
32765,0.436224
65533,0.667648
131069,1.024
262141,2.06029
524285,3.83552
1048573,8.1847
2097149,15.4945
4194301,31.3897
8388605,62.4952
16777213,125.728
33554429,253.997
67108861,511.337
13,0.140288
29,0.171008
61,0.171008
125,0.187392
253,0.190464
509,0.211968
1021,0.231424
2045,0.244736
4093,0.329728
8189,0.3328
16381,0.320512
32765,0.415744
65533,0.637952
131069,1.11821
262141,2.16986
524285,3.82941
1048573,8.35994
2097149,15.554
4194301,31.5095
8388605,62.6944
16777213,125.366
33554429,254.877
67108861,514.92
13,0.132096
29,0.141312
61,0.200704
125,0.182272
253,0.185344
509,0.20992
1021,0.232448
2045,0.221184
4093,0.242688
8189,0.270336
16381,0.342016
32765,0.425984
65533,0.6656
131069,1.88006
262141,2.2272
524285,3.82771
1048573,7.58246
2097149,15.8705
4194301,33.834
8388605,61.3775
16777213,126.871
33554429,254.273
67108861,511.242
13,0.173056
29,0.192512
61,0.186368
125,0.19456
253,0.19456
509,0.202752
1021,0.443392
2045,0.221184
4093,0.452608
8189,0.297984
16381,0.334848
32765,0.467968
65533,0.620544
131069,1.04858
262141,2.07258
524285,3.76771
1048573,8.54874
2097149,15.2223
4194301,30.7552
8388605,65.6083
16777213,128.468
33554429,255.688
67108861,512.4
13,0.177152
29,0.171008
61,0.176128
125,0.181248
253,0.570368
509,0.214016
1021,0.428032
2045,0.232448
4093,0.243712
8189,0.265216
16381,0.380928
32765,0.4352
65533,0.618496
131069,1.024
262141,2.21389
524285,3.75501
1048573,8.06541
2097149,15.6646
4194301,31.4499
8388605,64.3509
16777213,129.86
33554429,252.355
67108861,513.412
13,0.171008
