Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
262141,0.7933,0.8352,5.57978,6.36006
524285,1.3517,1.5418,8.96307,9.24672
1048573,2.7124,3.0437,15.7573,15.4501
2097149,5.6138,5.4738,31.273,29.2762
4194301,10.71,10.8617,58.5482,56.3067
8388605,22.1585,22.4095,113.693,109.001
16777213,44.9765,44.5119,235.191,221.843
33554429,84.0652,90.0569,481.105,443.589
67108861,173.08,177.661,948.238,887.356
134217725,354.091,351.811,1887.07,1785.13
268435453,704.843,703.381,3737.81,3550.5
13,0.0001,0.0002,0.838656,0.944128
29,0.0002,0.0003,0.673792,0.973824
61,0.0004,0.0003,0.862208,0.908288
125,0.0006,0.0006,0.857088,0.932864
253,0.0016,0.0011,0.791552,0.804864
509,0.0017,0.0017,0.81408,1.04346
1021,0.0028,0.0029,1.1223,0.92672
2045,0.0074,0.0247,0.948224,1.2759
4093,0.0245,0.0117,1.08646,0.986112
8189,0.021,0.0239,1.15405,1.21958
16381,0.0623,0.0599,1.3097,1.38547
32765,0.0821,0.1229,1.77357,1.64966
65533,0.1967,0.1776,1.85037,2.65626
131069,0.3481,0.3756,2.94707,3.59526
262141,0.757,0.8328,4.87526,5.92384
524285,1.4495,1.4575,9.96352,9.25798
1048573,2.7041,2.9296,15.87,15.9068
2097149,5.4024,5.7821,30.3124,29.1226
4194301,11.2823,11.4493,58.8329,56.5955
8388605,22.4046,22.7907,117.523,109.101
16777213,46.1456,45.6434,231.043,221.896
33554429,86.6306,92.8721,469.723,441.127
67108861,176.845,177.475,940.374,888.838
134217725,350.665,349.992,1871.32,1784.57
268435453,697.574,710.087,3766.83,3547.24
13,0.0001,0.0001,0.725984,0.835584
29,0.0002,0.0001,0.709632,0.780288
61,0.0002,0.0003,0.765952,1.21139
125,0.0007,0.0008,0.708608,1.0281
253,0.0009,0.001,0.714752,0.770048
509,0.0023,0.0016,0.812032,0.945152
1021,0.0028,0.003,0.85504,0.959488
2045,0.0052,0.0059,0.816128,0.795648
4093,0.0112,0.0127,0.959488,0.90112
8189,0.0226,0.0232,0.994304,0.859136
16381,0.0612,0.047,2.61632,0.996352
32765,0.0851,0.1098,1.3097,1.18989
65533,0.1709,0.2107,1.7623,2.43917
131069,0.3487,0.4257,2.90099,4.1431
262141,0.7958,0.7457,5.03091,5.74362
524285,1.4129,1.5991,9.63789,9.4761
1048573,2.6729,2.9335,16.8223,16.5908
2097149,5.605,5.8014,30.1056,30.081
4194301,11.2298,11.7168,58.2277,56.5125
8388605,21.4918,22.7584,116.815,111.895
16777213,44.1826,45.5153,233.289,222.226
33554429,84.0596,92.2806,467.547,447.503
67108861,175.338,178.131,936.168,884.602
134217725,354.239,351.645,1867.27,1779.62
268435453,696.878,704.37,3736.88,3540.29
13,0.0001,0.0002,0.87552,1.19296
29,0.0001,0.0002,1.22163,1.00966
61,0.0003,0.0003,0.68608,1.27181
125,0.0011,0.0006,1.05779,0.821248
253,0.0009,0.0009,0.748544,0.770048
509,0.0028,0.0017,1.03526,0.821248
1021,0.0027,0.0031,0.821248,0.842752
2045,0.012,0.0056,0.85504,0.935936
4093,0.0318,0.0117,0.956416,0.859136
8189,0.0207,0.0225,1.00045,0.857088
16381,0.0436,0.0467,1.24621,1.13152
32765,0.0853,0.1046,1.28102,1.4889
65533,0.2379,0.2363,1.70291,2.28864
131069,0.3515,0.4503,2.70848,3.40787
262141,0.6915,0.9298,4.81178,5.30739
524285,1.4586,1.6151,8.58214,9.50784
1048573,3.8124,2.9975,16.4096,16.641
2097149,5.2806,6.101,30.1353,29.6479
4194301,10.4954,11.5573,57.5836,58.07
8388605,21.6654,23.4934,115.103,109.951
16777213,43.0598,45.2367,233.058,223.305
33554429,87.0188,89.6501,460.424,448.103
67108861,175.561,179.575,939.165,887.312
134217725,345.291,354.902,1870.61,1774.54
268435453,703.085,706.048,3748.04,3547.29
13,0.0001,0.0002,1.94867,1.03014
29,0.0001,0.0002,0.94208,1.05984
61,0.0003,0.0002,0.71168,0.781312
125,0.0008,0.0006,0.71168,0.811008
253,0.0016,0.001,0.9216,0.78848
509,0.003,0.0018,0.93696,1.43258
1021,0.003,0.0032,0.826368,0.777216
2045,0.0089,0.0296,0.831488,1.23494
4093,0.011,0.0115,0.858112,1.79814
8189,0.0226,0.0235,0.986112,0.915456
16381,0.0537,0.045,2.01523,1.66298
32765,0.1174,0.1322,1.37011,1.1776
65533,0.1657,0.2141,1.93946,2.70438
131069,0.3589,0.3744,2.87949,3.79699
262141,0.8192,1.0111,5.29306,5.56544
524285,1.561,1.5043,8.5801,9.01427
1048573,2.8021,2.8946,16.0164,17.6292
2097149,5.3517,6.9677,29.2864,29.9397
4194301,10.2554,11.4949,57.001,56.0415
8388605,21.4403,23.1256,115.517,109.002
16777213,44.2908,44.9026,233.873,220.262
33554429,85.1485,93.5969,470.657,443.476
67108861,175.364,179.563,937.622,887.855
134217725,354.029,350.887,1884.18,1774.77
268435453,700.185,709.56,3727.44,3552.92
13,0.0001,0.0002,0.683008,0.818176
29,0.0001,0.0005,0.719872,0.801792
61,0.0006,0.0004,0.78848,0.78336
125,0.0005,0.0006,0.713728,0.830464
253,0.0015,0.0009,0.764928,0.919552
509,0.0026,0.0017,0.815104,0.770048
1021,0.0027,0.0032,0.86016,0.848896
2045,0.0092,0.0059,0.841728,0.796672
4093,0.0107,0.012,1.62099,1.12128
8189,0.0212,0.0238,0.907264,0.845824
16381,0.0752,0.0445,1.07725,1.06189
32765,0.0821,0.1089,1.38035,1.33837
65533,0.217,0.1878,2.13811,2.36851
131069,0.3387,0.4303,2.92762,3.36282
262141,0.7226,0.8903,5.00531,5.77434
524285,1.3644,1.5529,8.92416,9.26413
1048573,2.6266,3.0818,15.8505,15.3078
2097149,7.7056,5.6138,29.6489,29.7779
4194301,11.0909,11.2594,58.0035,57.6788
8388605,22.9163,23.3249,115.069,108.305
16777213,42.375,48.1073,233.307,221.978
33554429,92.1504,87.9275,473.661,441.338
67108861,177.802,181.847,944.09,893.174
134217725,349.126,351.133,1883.21,1774.54
268435453,696.599,699.154,3801.62,3552.5
13,0.0002,0.0002,0.900096,0.915456
29,0.0002,0.0002,0.925696,1.03424
61,0.0006,0.0003,0.888832,1.73466
125,0.0009,0.0006,0.915456,0.950272
253,0.0146,0.001,1.03117,1.08339
509,0.0028,0.0018,0.748544,0.771072
1021,0.0033,0.0032,0.873472,0.796672
2045,0.0058,0.0062,0.81408,1.74797
4093,0.0104,0.0118,0.891904,0.811008
8189,0.0211,0.0218,1.0752,0.8704
16381,0.0696,0.0458,1.1223,1.03629
32765,0.0824,0.1066,2.31014,2.0736
65533,0.2112,0.1954,1.8688,2.35725
131069,0.3581,0.4288,2.76685,3.76218
262141,0.6924,0.7666,5.39341,5.57978
524285,1.7831,1.5997,8.72243,8.54426
1048573,3.0086,3.2759,15.9867,17.0107
2097149,6.8203,6.2566,30.0155,29.3806
4194301,11.3851,11.8588,58.7602,57.601
8388605,24.3165,22.7147,116.393,109.761
16777213,45.2642,48.0187,230.669,222.404
33554429,90.9088,89.1233,467.976,444.596
67108861,172.16,176.457,935.884,891.007
134217725,358.747,353.158,1883.63,1781.86
268435453,707.422,703.315,3750.19,3542.43
13,0.0001,0.0002,1.68243,0.964608
29,0.0001,0.0003,0.96768,1.03731
61,0.0005,0.0003,0.907264,1.15507
125,0.0009,0.0007,0.869376,1.05472
253,0.0008,0.001,1.19706,1.02195
509,0.0029,0.0017,0.748544,0.766976
1021,0.0034,0.0031,0.763904,1.18477
2045,0.0055,0.0057,0.927744,1.31584
4093,0.0106,0.0112,0.909312,0.83456
8189,0.021,0.0226,0.985088,0.963584
16381,0.0585,0.0451,1.40083,0.982016
32765,0.0881,0.1146,1.32403,1.27386
65533,0.1724,0.19,1.76947,3.10989
131069,0.3462,0.4811,2.73408,3.64749
262141,0.7139,0.8589,5.59718,5.54701
524285,1.4404,1.5318,8.55347,9.1689
1048573,3.383,3.5405,15.7706,15.9662
2097149,5.2802,5.6228,31.0876,29.4697
4194301,10.8445,11.8681,58.2717,56.5053
8388605,21.3323,22.1719,116.922,111.162
16777213,44.9868,45.0419,231.651,221.369
33554429,90.643,89.0289,466.146,442.675
67108861,179.798,179.949,935.914,889.895
134217725,353.414,353.842,1874.47,1778.09
268435453,707.517,697.294,3751.9,3552.91
13,0.0001,0.0002,0.854016,1.08749
29,0.0003,0.0005,1.35373,1.05165
61,0.0004,0.0004,0.922624,1.66912
125,0.0008,0.0005,1.21958,1.0711
253,0.0016,0.0014,0.884736,0.772096
509,0.0022,0.0017,0.922624,1.02707
1021,0.0026,0.003,0.765952,0.828416
2045,0.0057,0.0058,0.812032,0.869376
4093,0.0105,0.0114,0.857088,1.1561
8189,0.0347,0.0227,0.970752,0.867328
16381,0.0427,0.064,1.3097,1.08442
32765,0.0826,0.1124,1.37728,1.1817
65533,0.172,0.2009,1.9456,2.62963
131069,0.3359,0.4278,3.05766,3.47443
262141,0.7026,0.8709,4.78618,5.52038
524285,1.4659,1.5897,8.7767,9.09824
1048573,3.9414,3.1161,15.8945,16.5888
2097149,5.1889,6.1035,29.9407,29.4605
4194301,11.0958,11.3405,58.6332,56.3507
8388605,21.3988,22.9749,115.552,111.137
16777213,42.5408,44.8191,234.961,220.996
33554429,87.7597,90.1893,472.043,442.92
67108861,178.008,179.584,939.341,889.729
134217725,346.724,347.44,1886.4,1766.1
268435453,713.862,701.777,3744.48,3552.7
13,0.0001,0.0001,0.795648,0.914432
29,0.0001,0.0002,0.951296,0.991232
61,0.0007,0.0004,1.29229,1.02707
125,0.0008,0.0005,0.923648,1.09773
253,0.001,0.001,1.34144,0.77824
509,0.0028,0.002,0.766976,0.77824
1021,0.0029,0.0032,0.77824,0.797696
2045,0.0056,0.0064,0.820224,0.805888
4093,0.0111,0.0124,0.902144,0.825344
8189,0.0221,0.0238,1.1008,1.56979
16381,0.0497,0.0477,1.42848,0.99328
32765,0.0812,0.1099,1.37523,1.17555
65533,0.2256,0.2031,2.46272,2.52416
131069,0.3331,0.4282,2.75661,3.60237
262141,0.7173,0.892,5.4999,5.61766
524285,1.3094,1.5239,8.51661,8.53094
1048573,2.7464,2.9676,16.1321,17.4408
2097149,5.0813,5.8439,29.7994,29.6223
4194301,10.7644,11.6782,57.9308,57.6502
8388605,21.3083,23.0873,113.31,110.567
16777213,42.8236,45.4437,238.761,221.463
33554429,88.9717,88.8316,472.637,441.19
67108861,180.424,178.373,937.264,885.204
134217725,455.441,386.233,1909.09,1850.11
268435453,774.2,773.446,3786.6,4027.12
13,0.0001,0.0002,0.928768,0.924672
29,0.0002,0.0002,0.909312,1.03834
61,0.0003,0.0004,0.83968,1.24211
125,0.0005,0.0006,0.929792,1.0793
253,0.0008,0.0011,0.768,1.06189
509,0.0019,0.0019,0.805888,0.817152
1021,0.0028,0.0032,1.33325,0.825344
2045,0.0066,0.006,2.21594,0.811008
4093,0.0162,0.0117,1.22675,0.876544
8189,0.021,0.0236,0.971776,1.31686
16381,0.0755,0.0469,1.18374,2.05414
32765,0.0873,0.1124,1.64352,1.28922
65533,0.2471,0.2005,2.32755,3.17747
131069,0.3273,0.4168,2.75661,4.09293
262141,0.6846,1.1624,5.78867,5.90438
524285,1.6063,1.4884,8.51149,8.77568
1048573,2.5895,3.1253,16.0328,15.8894
2097149,5.2812,5.6422,29.9489,29.5158
4194301,11.9212,11.6287,61.0775,57.8949
8388605,22.9982,22.4216,118.923,110.122
16777213,51.9211,46.5371,230.376,246.015
33554429,91.1344,88.2267,474.202,448.822
67108861,177.019,186.686,935.747,891.463
134217725,350.444,386.598,1877.25,1776.26
268435453,702.74,706.312,3747.93,3537.68
13,0.0001,0.0001,0.961536,1.08237
29,0.0001,0.0002,0.924672,1.07622
61,0.0005,0.0003,0.846848,1.00966
125,0.0006,0.0006,0.90112,0.966656
253,0.0008,0.0012,1.08339,1.03322
509,0.0027,0.0017,0.984064,0.818176
1021,0.0031,0.0034,0.914432,0.996352
2045,0.0111,0.0062,1.55853,0.861184
4093,0.0316,0.0118,1.06803,1.39469
8189,0.0239,0.0286,1.10285,1.38138
16381,0.076,0.0576,1.2032,0.98816
32765,0.1043,0.1598,1.4039,1.66605
65533,0.1853,0.1999,1.91898,2.3808
131069,0.3885,0.4452,2.86413,3.8441
262141,0.661,0.8454,5.23878,5.52346
524285,1.4166,1.6252,8.84224,8.3927
1048573,2.6578,2.8919,15.7174,16.5591
2097149,5.1513,6.0394,30.2346,29.9377
4194301,11.5444,11.9955,58.1427,56.107
8388605,22.2243,23.513,116.161,109.827
16777213,46.7388,44.3544,229.472,224.539
33554429,83.8459,89.9159,468.043,442.075
67108861,180.051,178.224,933.594,884.767
134217725,355.098,351.825,1861.28,1785.53
268435453,698.659,708.39,3731.72,3530.4
13,0.0001,0.0002,0.826368,1.06598
29,0.0002,0.0001,1.11206,1.00864
61,0.0007,0.0003,1.11718,1.01478
125,0.0005,0.0007,0.92672,0.946176
253,0.0008,0.0009,0.724992,0.78336
509,0.0015,0.002,0.85504,1.27488
1021,0.0028,0.0032,0.772096,0.78336
2045,0.0228,0.0057,1.57184,0.792576
4093,0.0196,0.012,0.8448,0.933888
8189,0.0397,0.0235,0.944128,1.31994
16381,0.0439,0.0645,1.16019,1.42336
32765,0.0883,0.1085,1.31174,1.31994
65533,0.1737,0.1963,2.20365,2.75149
131069,0.3348,0.5305,3.29728,3.58707
262141,0.7009,0.7798,5.09542,5.79379
524285,1.3731,1.9358,8.88218,9.51706
1048573,2.6416,3.1301,16.4639,16.213
2097149,5.4587,6.0456,29.7574,30.4998
4194301,11.2085,11.2115,59.4371,56.702
8388605,21.8276,23.5509,118.179,112.76
16777213,43.4263,45.7782,235.738,219.565
33554429,91.9404,92.2027,469.574,445.246
67108861,175.722,177.791,945.937,887.337
,361.519,,,
