Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
524285,1.367,1.8126,9.63686,9.69318
1048573,3.189,3.0282,15.999,15.4931
2097149,5.6439,5.5853,30.6852,29.4646
4194301,12.4116,13.109,57.7413,56.2156
8388605,21.6358,23.8141,113.891,109.804
16777213,42.6556,47.6581,232.454,222.023
33554429,91.2014,90.076,472.402,440.998
67108861,174.964,179.26,947.121,883.885
134217725,351.065,358.236,1882.03,1775.82
268435453,709.357,712.204,3759.39,3556.52
13,0.0001,0.0002,0.804864,0.949248
29,0.0002,0.0002,0.862208,0.894976
61,0.0002,0.0003,1.05686,0.925696
125,0.0008,0.0006,0.910336,0.915456
253,0.0013,0.001,0.878592,1.38854
509,0.0016,0.0016,1.00659,0.915456
1021,0.0029,0.003,0.796672,1.38035
2045,0.0095,0.0056,0.985088,0.806912
4093,0.0105,0.0112,1.03424,1.1049
8189,0.037,0.0227,1.06906,1.74592
16381,0.0779,0.0455,1.62099,1.27898
32765,0.0829,0.1405,1.4633,2.02957
65533,0.1771,0.1989,1.96198,2.5047
131069,0.3476,0.483,2.86106,3.57786
262141,0.6807,1.0455,5.00941,5.48147
524285,1.3921,1.5491,9.22726,9.07878
1048573,2.6445,2.9494,16.6205,16.0676
2097149,5.6502,5.9476,30.3616,29.7492
4194301,10.8748,11.7123,58.8626,57.0675
8388605,21.3219,23.1063,115.746,109.908
16777213,43.631,45.202,232.412,220.451
33554429,87.5901,100.256,466.648,442.93
67108861,178.953,178.691,932.509,894.549
134217725,365.423,353.987,1886.4,1778.32
268435453,709.55,703.255,3735.14,3546.78
13,0.0002,0.0002,1.53088,1.03629
29,0.0006,0.0003,0.789504,1.08442
61,0.0005,0.0006,1.12435,0.992256
125,0.0009,0.001,0.841728,0.91136
253,0.0017,0.001,0.841728,1.13152
509,0.0028,0.0018,0.876544,1.04858
1021,0.0053,0.0034,1.14688,1.44282
2045,0.0058,0.006,1.4121,1.08237
4093,0.0241,0.0111,1.03117,0.960512
8189,0.0212,0.024,1.2329,1.06701
16381,0.0426,0.0443,1.07827,1.56262
32765,0.0813,0.1075,1.46842,1.17453
65533,0.1722,0.1788,1.93843,2.89075
131069,0.3423,0.4095,2.88256,4.00589
262141,0.7037,0.9351,5.05651,6.30477
524285,1.7413,1.6418,8.82483,9.58157
1048573,2.8424,3.4854,15.8771,16.4864
2097149,7.0964,5.8809,30.6801,29.3243
4194301,10.8652,11.4392,57.9635,56.2371
8388605,26.4524,23.0585,115.761,108.79
16777213,44.8852,47.8367,229.576,219.959
33554429,95.9369,88.2889,465.057,443.056
67108861,175.271,177.617,936.014,886.519
134217725,354.349,349.507,1871.21,1772.5
268435453,706.536,710.379,3721.48,3544.63
13,0.0001,0.0002,0.790528,0.953344
29,0.0002,0.0003,0.789504,0.963584
61,0.0005,0.0004,0.817152,1.93741
125,0.0008,0.0005,1.06189,0.992256
253,0.0016,0.0009,0.878592,0.90624
509,0.0018,0.0018,0.786432,1.06701
1021,0.005,0.003,0.861184,0.897024
2045,0.0073,0.0063,1.03322,0.984064
4093,0.033,0.0117,1.11206,1.85037
8189,0.0228,0.0239,1.43258,1.00454
16381,0.044,0.045,1.11104,1.40288
32765,0.0913,0.1117,2.11046,1.34656
65533,0.1686,0.2501,1.85242,2.42586
131069,0.3603,0.4801,2.94093,3.57171
262141,0.6428,0.8712,4.98893,6.40102
524285,1.6564,1.7299,9.29587,8.86272
1048573,2.8868,2.9011,16.4598,15.7133
2097149,7.1652,5.7629,31.6938,30.933
4194301,12.4767,11.419,58.0086,55.4281
8388605,23.4561,21.9699,114.629,109.151
16777213,42.976,45.8465,235.248,220.033
33554429,89.0402,90.4213,470.074,445.964
67108861,177.026,181.634,937.233,895.004
134217725,356.666,358.918,1882.49,1771.8
268435453,713.328,715.653,3730.66,3553.83
13,0.0001,0.0002,1.00045,0.996352
29,0.0001,0.0002,0.955392,0.909312
61,0.0003,0.0004,0.862208,0.842752
125,0.0008,0.0007,0.941056,1.00454
253,0.0143,0.001,0.847872,1.89747
509,0.0025,0.0035,0.843776,1.12128
1021,0.004,0.0031,0.850944,1.11309
2045,0.0058,0.0061,1.05472,1.0537
4093,0.0162,0.0116,1.11411,0.984064
8189,0.0214,0.0236,0.98816,1.37011
16381,0.0627,0.0455,1.49914,1.2247
32765,0.0856,0.1094,1.33325,1.46227
65533,0.1649,0.2033,1.92512,2.6153
131069,0.3424,0.6721,3.1785,4.08576
262141,0.6943,0.8186,5.51117,5.92794
524285,1.4424,1.6356,8.7808,9.12282
1048573,3.0472,3.853,16.254,16.9472
2097149,5.3628,5.703,29.8547,30.0411
4194301,10.59,11.705,58.409,57.557
8388605,22.3723,22.9736,114.313,111.113
16777213,41.9438,44.7481,234.458,219.054
33554429,87.9528,91.2725,470.572,441.377
67108861,177.185,176.771,947.326,887.659
134217725,356.397,359.841,1870.75,1787.83
268435453,706.531,718.945,3781.44,3550.06
13,0.0002,0.0002,0.956416,1.15302
29,0.0001,0.0003,0.874496,1.00659
61,0.0004,0.0002,0.946176,1.00864
125,0.0006,0.0007,0.954368,1.06598
253,0.015,0.0011,0.847872,0.932864
509,0.0028,0.0019,0.8704,1.01171
1021,0.0036,0.0033,1.3568,0.973824
2045,0.0055,0.006,1.07418,1.0711
4093,0.0106,0.0302,0.859136,1.13971
8189,0.0207,0.0234,1.19194,1.25133
16381,0.0633,0.0878,1.2073,1.05472
32765,0.082,0.1112,2.90099,1.41926
65533,0.2259,0.2377,1.81658,2.30707
131069,0.3953,0.4592,3.36589,3.5584
262141,0.6761,0.8466,4.98074,5.48147
524285,1.3914,1.669,8.91699,10.154
1048573,3.6923,3.1537,15.829,16.9196
2097149,5.5207,6.9688,29.995,29.0028
4194301,10.7939,11.3853,58.1079,55.9657
8388605,21.2003,23.2356,116.089,110.839
16777213,43.7996,45.6913,237.411,220.53
33554429,86.5621,92.4206,469.996,441.847
67108861,177.718,182.939,946.939,890.273
134217725,353.146,350.718,1874.16,1774.03
268435453,706.805,705.643,3750.76,3551.47
13,0.0001,0.0002,1.59642,1.04755
29,0.0005,0.0002,0.782336,0.864256
61,0.0005,0.0003,0.873472,0.88576
125,0.0008,0.0006,0.83456,0.9728
253,0.0148,0.0009,0.866304,0.979968
509,0.0013,0.0015,0.837632,1.34246
1021,0.0035,0.0031,0.94208,1.08134
2045,0.0093,0.0192,1.01581,0.920576
4093,0.0116,0.012,1.37728,1.01376
8189,0.021,0.0231,1.05267,1.19706
16381,0.0412,0.0434,1.15302,1.01274
32765,0.0869,0.0921,1.72646,1.34758
65533,0.1774,0.2698,1.84013,3.45395
