Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
65536,0.039,0.652288,0.32256,0.214752,0.125952
131072,0.6012,1.05677,0.351232,0.214016,0.493568
262144,1.1695,2.33779,0.438272,0.329728,0.514048
524288,2.3415,3.91222,0.736,0.303488,0.519904
1048576,4.4377,8.57389,1.30355,0.376832,0.676864
2097152,8.8693,16.7004,2.1519,0.530016,0.533888
4194304,18.0013,32.7636,4.16256,0.883712,1.43974
8388608,40.1781,63.2942,7.1977,1.5049,0.95696
16777216,72.7067,126.72,15.3549,2.86099,1.30931
33554432,145.536,257.195,22.073,5.59923,2.12
67108864,292.299,516.564,66.2564,11.0171,3.63296
16,0.0001,0.297984,0.109568,0.186368,0.166912
32,0.0003,0.200704,0.135168,0.196608,0.212992
64,0.0003,0.219136,0.144384,0.176128,0.14848
128,0.0002,0.237568,0.166912,0.177152,0.162816
256,0.0003,0.267264,0.1792,0.200704,0.169984
512,0.0007,0.258048,0.192512,0.200704,0.169984
1024,0.0004,0.247808,0.259072,0.193536,0.149504
2048,0.0024,0.282624,0.241664,0.140288,0.119808
4096,0.0045,0.303104,0.254976,0.1536,0.150528
8192,0.0036,0.3072,0.264192,0.183296,0.152576
16384,0.0086,0.347136,0.28672,0.164864,0.126976
32768,0.0189,0.442368,0.313344,0.162816,0.132096
65536,0.0383,0.642048,0.328704,0.216064,0.13056
131072,0.9315,1.05677,0.333824,0.17456,0.518144
262144,1.2038,2.11763,0.427008,0.29696,0.530432
524288,2.3926,4.02739,0.726336,0.334848,0.523264
1048576,4.6295,8.24006,1.17043,0.380448,0.547744
2097152,9.2472,16.4731,2.4617,0.4864,0.550912
4194304,18.4723,33.5124,3.40173,0.903936,0.838144
8388608,36.2125,62.0697,6.59456,1.54794,0.85232
16777216,72.2378,127.814,11.3295,3.06106,1.7449
33554432,143.953,257.562,30.1496,5.60317,2.12954
67108864,294.079,518.235,52.9997,11.6037,3.65645
16,0.0001,0.234496,0.109568,0.196608,0.155648
32,0.0001,0.132096,0.119808,0.173056,0.144384
64,0.0002,0.229376,0.14336,0.173056,0.165888
128,0.0004,0.243712,0.14848,0.178176,0.178176
256,0.0003,0.357376,0.180224,0.196608,0.110592
512,0.0007,0.253952,0.195584,0.180224,0.151552
1024,0.0005,0.24064,0.208896,0.203776,0.247808
2048,0.0011,0.244736,0.236544,0.141312,0.128
4096,0.0034,0.263168,0.253952,0.149504,0.139264
8192,0.0172,0.299008,0.259072,0.154624,0.110592
16384,0.0083,0.334848,0.288768,0.169984,0.13312
32768,0.0192,0.453632,0.299008,0.16896,0.130048
65536,0.0385,0.6144,0.470016,0.161728,0.121856
131072,0.6025,1.07622,0.364544,0.263168,0.466944
262144,1.2034,2.29683,0.434176,0.205824,0.51712
524288,2.3388,3.86653,0.761856,0.2984,0.518144
1048576,4.4373,8.41398,1.29984,0.383296,0.473088
2097152,8.9988,16.792,2.00858,0.543168,0.574112
4194304,18.2109,31.4333,4.1984,0.850784,0.690944
8388608,36.7512,64.6096,6.80038,1.54112,0.83728
16777216,79.8632,127.231,15.2545,2.89856,1.34838
33554432,148.859,255.831,22.0035,5.60173,2.0335
67108864,294.819,519.952,66.0443,10.8974,3.5905
16,0.0001,0.219136,0.10752,0.200704,0.167936
32,0.0002,0.219136,0.136192,0.198656,0.165888
64,0.0002,0.234496,0.139264,0.198656,0.161792
128,0.0002,0.237568,0.169984,0.193536,0.177152
256,0.0004,0.249856,0.176128,0.198656,0.171008
512,0.0007,0.28672,0.202752,0.165888,0.18432
1024,0.0005,0.283648,0.206848,0.196608,0.176128
2048,0.0024,0.32256,0.242688,0.1536,0.156672
4096,0.0022,0.303104,0.278528,0.145408,0.263168
8192,0.0037,0.36864,0.270336,0.1536,0.132096
16384,0.0093,0.380928,0.299008,0.176128,0.156672
32768,0.021,0.477184,0.31232,0.1792,0.160768
65536,0.0455,0.662528,0.323584,0.423936,0.139264
131072,0.6017,1.05062,0.36352,0.18432,0.487424
262144,1.178,2.29376,0.454656,0.224256,0.494304
524288,2.3439,4.37296,0.740864,0.33792,0.674816
1048576,4.8199,8.0217,1.11821,0.379904,0.541696
2097152,10.3041,16.1072,2.52102,0.523072,0.607232
4194304,17.9345,31.2603,3.38739,0.856896,0.772896
8388608,38.4299,63.6085,6.62426,1.52342,0.96256
16777216,74.7989,128.22,12.6874,2.89264,1.40157
33554432,150.141,257.851,29.9209,5.60832,2.03421
67108864,291.188,518.677,52.8046,10.9544,3.6367
16,0.0001,0.222208,0.099328,0.161792,0.144384
32,0.0002,0.214016,0.119808,0.205824,0.171008
64,0.0001,0.238592,0.151552,0.180224,0.16896
128,0.0002,0.237568,0.157696,0.188416,0.152576
256,0.0004,0.253952,0.175104,0.372736,0.145408
512,0.0007,0.260096,0.192512,0.22528,0.176128
1024,0.0005,0.304128,0.212992,0.1536,0.177152
2048,0.0011,0.246784,0.24064,0.166912,0.150528
4096,0.0044,0.28672,0.237568,0.15872,0.12288
8192,0.0037,0.3328,0.31232,0.151552,0.124928
16384,0.0088,0.653312,0.29184,0.177152,0.151552
32768,0.0198,0.4864,0.299008,0.192512,0.176128
65536,0.043,0.68608,0.319488,0.197952,0.181248
131072,0.5855,1.20525,0.349184,0.193536,0.504832
262144,1.2074,2.21798,0.395264,0.258048,0.531456
524288,2.3422,3.88387,0.729088,0.27136,0.508896
1048576,4.6824,8.28797,1.56877,0.340992,0.470464
2097152,9.0277,16.2099,2.3271,0.537088,0.513856
4194304,19.9931,31.0876,4.42675,0.862208,0.643072
8388608,36.077,64.2516,6.88806,1.61418,0.822752
16777216,77.2349,127.748,16.2079,2.93315,1.3824
33554432,148.555,252.981,22.4137,5.59514,1.98144
67108864,296.691,518.016,66.3035,10.906,3.66899
16,0.0001,0.277504,0.11776,0.201728,0.144384
32,0,0.248832,0.125952,0.206848,0.169984
64,0.0003,0.237568,0.136192,0.180224,0.147456
128,0.0004,0.237568,0.151552,0.19968,0.238592
256,0.0004,0.191488,0.18432,0.149504,0.272384
512,0.0007,0.2304,0.196608,0.159744,0.128
1024,0.0005,0.279552,0.211968,0.150528,0.128
2048,0.001,0.390144,0.21504,0.146432,0.161792
4096,0.0021,0.268288,0.243712,0.152576,0.422912
8192,0.004,0.30208,0.784384,0.166912,0.11776
16384,0.0081,0.351232,0.285696,0.156672,0.120832
32768,0.037,0.448512,0.316416,0.160768,0.131072
65536,0.0419,0.643072,0.355328,0.16896,0.12288
131072,0.5829,1.0793,0.345088,0.173056,0.470016
262144,1.2031,2.26611,0.423936,0.185344,0.525312
524288,2.3348,4.35078,0.730112,0.27648,0.540992
1048576,4.4368,7.74928,1.07552,0.339968,0.627712
2097152,10.2503,16.3451,2.4489,0.513024,0.512
4194304,18.4924,31.813,3.39094,0.904544,0.690176
8388608,40.0551,63.2289,6.71232,1.53984,0.792256
16777216,74.6765,127.56,12.0426,3.15782,1.35626
33554432,147.106,254.906,29.7223,5.57926,2.15078
67108864,292.213,519.416,52.8748,11.2023,3.60794
16,0.0001,0.223232,0.10752,0.178176,0.369664
32,0.0001,0.211968,0.116736,0.227328,0.18432
64,0.0002,0.232448,0.136192,0.205824,0.249856
128,0.0004,0.24576,0.157696,0.177152,0.150528
256,0.0006,0.249856,0.17408,0.172032,0.150528
512,0.0004,0.26112,0.20992,0.17408,0.149504
1024,0.0014,0.232448,0.207872,0.173056,0.152576
2048,0.001,0.229376,0.236544,0.14848,0.129024
4096,0.002,0.308224,0.251904,0.159744,0.150528
8192,0.0037,0.241664,0.264192,0.152576,0.134144
16384,0.0097,0.344064,0.289792,0.1792,0.154624
32768,0.027,0.477184,0.297984,0.178176,0.161792
65536,0.0432,0.668672,0.32768,0.190464,0.17136
131072,0.6036,1.2329,0.349184,0.206848,0.47104
262144,1.1703,2.38899,0.407552,0.212992,0.513024
524288,2.3524,3.83898,0.725696,0.303744,0.510976
1048576,5.4524,7.99216,1.31856,0.38288,0.71168
2097152,8.8743,15.7102,2.01626,0.56832,0.550656
4194304,17.9658,31.753,4.26496,0.884736,0.790016
8388608,36.0634,63.4243,6.85978,1.51747,0.958464
16777216,72.3852,128.546,15.2515,2.88938,1.29363
33554432,144.042,255.174,22.1327,5.67296,2.38464
67108864,292.616,517.294,67.6137,10.9373,3.6103
16,0.0001,0.191488,0.103424,0.159744,0.124928
32,0.0015,0.18944,0.126976,0.164864,0.132096
64,0.0004,0.191488,0.136192,0.1536,0.130048
128,0.0001,0.192512,0.15872,0.147456,0.120832
256,0.0004,0.208896,0.17408,0.330752,0.135168
512,0.0003,0.229376,0.193536,0.152576,0.13312
1024,0.0013,0.264192,0.208896,0.152576,0.154624
2048,0.001,0.39424,0.20992,0.149504,0.113664
4096,0.0021,0.267264,0.500736,0.160768,0.124928
8192,0.0039,0.279552,0.280576,0.15872,0.150528
16384,0.0092,0.347136,0.290816,0.157472,0.126976
32768,0.0208,0.451584,0.310272,0.161792,0.161792
65536,0.0404,0.883712,0.315392,0.166912,0.137216
131072,0.5865,1.06598,0.857088,0.171008,0.475136
262144,1.3806,2.10432,0.392192,0.598016,0.442944
524288,2.4932,4.42266,0.72704,0.313344,0.637376
1048576,4.6787,7.97286,1.10387,0.381952,0.524768
2097152,9.1765,15.6897,3.50822,0.521184,0.57328
4194304,18.6997,31.5193,3.41443,0.850688,0.693888
8388608,36.2876,64.0338,6.5849,1.52099,0.880224
16777216,76.2361,127.49,11.3408,2.89178,1.37728
33554432,146.654,255.303,30.2664,5.63098,2.0183
67108864,291.104,518.827,53.079,10.8859,3.58557
16,0.0001,0.242688,0.115712,0.197632,0.173056
32,0.0002,0.160768,0.118784,0.196608,0.173056
64,0.0002,0.239616,0.141312,0.178176,0.173056
128,0.0003,0.229376,0.164864,0.198656,0.16384
256,0.0004,0.246784,0.176128,0.177152,0.169984
512,0.0006,0.272384,0.196608,0.182272,0.171008
1024,0.0004,0.253952,0.268288,0.18432,0.171008
2048,0.0024,0.283648,0.231424,0.152576,0.124928
4096,0.0019,0.314368,0.269312,0.155648,0.121856
8192,0.0051,0.345088,0.263168,0.156672,0.139264
16384,0.0108,0.37888,0.299008,0.190464,0.166912
32768,0.0448,0.468992,0.321536,0.16384,0.124928
65536,0.0415,0.866304,0.342016,0.159744,0.13312
131072,0.8732,1.08134,0.566272,0.216064,0.512
262144,1.202,2.09715,0.41984,0.228352,0.479872
524288,2.356,4.35443,0.745472,0.304736,0.504224
1048576,4.5248,7.73392,1.30083,0.392704,0.534848
2097152,9.7665,15.7143,2.01318,0.50848,0.59392
4194304,18.0082,33.3397,4.23424,0.84208,1.02195
8388608,39.1723,63.4087,6.92794,1.52573,0.995296
16777216,71.9133,128.478,15.3221,2.90304,1.39357
33554432,146.578,257.181,22.3713,5.6231,2.14938
67108864,298.315,517.625,66.6504,10.9136,3.66694
16,0.0001,0.218112,0.106496,0.201728,0.172032
32,0.0001,0.289792,0.13312,0.17408,0.149504
64,0.0002,0.339968,0.292864,0.173056,0.151552
128,0.0005,0.244736,0.1536,0.178176,0.152576
256,0.0003,0.227328,0.173056,0.178176,0.16384
512,0.0004,0.256,0.185344,0.205824,0.16896
1024,0.0004,0.259072,0.207872,0.15872,0.129024
2048,0.0015,0.253952,0.21504,0.146432,0.136192
4096,0.0021,0.246784,0.241664,0.160768,0.154624
8192,0.0052,0.30208,0.252928,0.164864,0.141312
16384,0.0088,0.3584,0.289792,0.26112,0.128
32768,0.0201,0.519168,0.303104,0.16896,0.13264
65536,0.0418,0.667648,0.320512,0.18672,0.248832
131072,0.6053,1.10285,0.372736,0.178176,0.621568
262144,1.1802,2.1207,0.437248,0.257024,0.484352
524288,2.3563,3.87552,0.689664,0.299904,0.50976
1048576,4.7625,8.15072,1.0992,0.425984,0.532032
2097152,9.0273,15.9089,3.16314,0.50864,0.586688
4194304,22.1923,32.2127,3.40173,0.970528,0.62864
8388608,36.6701,63.0906,6.55616,1.53942,0.989024
16777216,74.7247,127.249,11.5471,2.87232,1.38957
33554432,149.132,257.165,30.0641,5.76096,2.08547
67108864,296.039,521.653,54.5843,10.9787,3.68394
16,0.0001,0.233472,0.123904,0.197632,0.169984
32,0.0001,0.231424,0.124928,0.203776,0.16896
64,0.0002,0.24064,0.145408,0.239616,0.164864
128,0.0003,0.214016,0.151552,0.180224,0.146432
256,0.0003,0.197632,0.172032,0.197632,0.165888
512,0.0004,0.259072,0.195584,0.177152,0.173056
1024,0.0005,0.241664,0.216064,0.181248,0.149504
2048,0.0016,0.32768,0.237568,0.151552,0.130048
4096,0.0021,0.396288,0.367616,0.152576,0.132096
8192,0.0036,0.319488,0.273408,0.182272,0.125952
16384,0.0096,0.431104,0.282624,0.19968,0.16896
32768,0.0189,0.508928,0.309248,0.192512,0.164736
65536,0.073,0.657408,0.31744,0.207872,0.166912
131072,0.583,1.07315,0.36352,0.24064,0.485376
262144,1.2031,2.43712,0.403456,0.290816,0.492544
524288,2.2638,3.87443,0.75264,0.303104,0.52224
1048576,4.4377,7.8999,1.77562,0.38912,0.494272
2097152,9.574,15.5132,1.96608,0.507904,1.46227
4194304,18.6197,31.7447,4.16563,0.852384,0.670112
8388608,37.2005,64.2415,6.89459,1.51082,0.996864
16777216,76.3943,127.798,15.0592,2.88723,1.3824
33554432,148.727,257.134,21.7706,5.57638,2.18195
67108864,289.96,517.477,65.9599,10.8815,3.46566
16,0.0001,0.219136,0.11264,0.195584,0.156672
32,0.0003,0.22528,0.13312,0.177152,0.159744
64,0.0002,0.238592,0.140288,0.177152,0.169984
128,0.0002,0.244736,0.165888,0.196608,0.169984
256,0.0004,0.248832,0.172032,0.193536,0.16896
512,0.0007,0.270336,0.19968,0.185344,0.16896
1024,0.0011,0.258048,0.222208,0.166912,0.128
2048,0.001,0.221184,0.227328,0.223232,0.13824
4096,0.002,0.263168,0.249856,0.15872,0.140288
8192,0.0041,0.294912,0.284672,0.164864,0.161792
16384,0.0088,0.359424,0.288768,0.155648,0.121856
32768,0.02,0.44544,0.715776,0.155168,0.128
65536,0.0383,0.672768,0.326656,0.166656,0.13824
131072,0.6001,1.03014,0.351232,0.172032,0.489248
262144,1.1762,2.11456,0.43008,0.193536,0.8192
524288,2.2203,3.85946,1.20602,0.26992,1.17658
1048576,4.8877,7.97389,1.13392,0.396288,0.533216
2097152,9.123,16.5784,2.43507,0.540576,0.536384
4194304,18.0344,31.5592,3.41299,0.847264,0.638464
8388608,36.0168,63.632,6.56246,1.54419,0.978464
16777216,78.2761,127.002,11.4031,2.92086,1.40115
33554432,145.626,255.581,29.9587,5.56803,2.15757
67108864,292.061,518.357,53.5845,11.0139,3.64499
16,0.0001,0.254976,0.108544,0.198656,0.490496
32,0.0001,0.258048,0.125952,0.178176,0.178176
64,0.0003,0.278528,0.145408,0.195584,0.173056
128,0.0002,0.2048,0.161792,0.149504,0.21504
256,0.0004,0.212992,0.176128,0.149504,0.125952
512,0.0004,0.244736,0.192512,0.14848,0.123904
1024,0.0005,0.270336,0.214016,0.151552,0.128
2048,0.001,0.239616,0.219136,0.164864,0.146432
4096,0.002,0.272384,0.253952,0.164864,0.126976
8192,0.0042,0.297984,0.269312,0.181248,0.137216
16384,0.0096,0.346112,0.318464,0.149504,0.128
32768,0.0227,0.442368,0.299008,0.162816,0.135168
65536,0.038,0.651264,0.316416,0.176128,0.12832
131072,0.5836,1.09363,0.347136,0.171552,0.448512
262144,1.2053,2.11046,0.39424,0.192512,0.518144
524288,2.6081,4.07654,0.720416,0.3,0.531104
1048576,4.7324,7.84077,1.29491,0.500128,0.55296
2097152,10.6257,15.4232,1.97389,0.547168,0.522144
4194304,18.8807,31.8853,4.23526,0.84464,0.615904
8388608,37.3313,63.2962,6.93555,1.54698,0.886784
16777216,71.711,128.879,15.3071,2.9313,1.17453
33554432,146.976,257.597,22.5751,5.60304,2.14426
67108864,290.686,518.579,66.5016,10.9617,3.51373
16,0.0001,0.180224,0.109568,0.2048,0.134144
32,0.0001,0.212992,0.139264,0.160768,0.120832
64,0.0002,0.178176,0.144384,0.157696,0.11776
128,0.0003,0.208896,0.155648,0.160768,0.124928
256,0.0004,0.239616,0.175104,0.159744,0.124928
512,0.0007,0.210944,0.193536,0.152576,0.129024
1024,0.0004,0.24064,0.219136,0.160768,0.228352
2048,0.001,0.248832,0.217088,0.166912,0.139264
4096,0.0044,0.268288,0.24576,0.166912,0.172032
8192,0.0037,0.313344,0.269312,0.155648,0.141312
16384,0.0279,0.350208,0.28672,0.165888,0.126976
32768,0.0215,0.442368,0.306176,0.160672,0.26624
65536,0.0434,0.651264,0.339968,0.164192,0.131072
131072,0.5832,1.05984,0.371712,0.166912,0.437248
262144,1.2098,2.06438,0.41472,0.189344,0.42496
524288,2.3146,3.8777,0.704992,0.266976,0.5024
1048576,4.4374,7.76784,1.1008,0.391744,0.65424
2097152,9.152,15.2914,2.6112,0.5096,0.493184
4194304,19.6962,32.638,3.40013,0.958464,0.666624
8388608,36.5625,63.1552,6.50579,1.60147,0.836544
16777216,77.6246,127.298,11.3253,2.88218,1.4039
33554432,143.103,254.512,30.1046,5.62042,2.17149
67108864,293.586,518.766,52.0411,10.9104,3.54573
16,0.0001,0.228352,0.121856,0.202752,0.16896
32,0.0001,0.376832,0.131072,0.18432,0.151552
64,0.0001,0.233472,0.145408,0.177152,0.145408
128,0.0002,0.237568,0.162816,0.175104,0.13312
256,0.0003,0.237568,0.1792,0.19968,0.167936
512,0.0006,0.206848,0.20992,0.211968,0.145408
1024,0.0005,0.249856,0.233472,0.185344,0.149504
2048,0.0011,0.292864,0.22016,0.14848,0.125952
4096,0.0025,0.304128,0.273408,0.14848,0.136192
8192,0.017,0.33792,0.269312,0.154624,0.136192
16384,0.0121,0.397312,0.289792,0.201728,0.171008
32768,0.0398,0.47616,0.297376,0.157696,0.129024
65536,0.0374,0.661504,0.323584,0.171008,0.127872
131072,0.5838,1.08442,0.357376,0.179648,0.509952
262144,1.1739,2.1289,0.4352,0.323584,0.615744
524288,3.546,4.29197,0.761856,0.258656,0.372448
1048576,4.8268,7.73939,1.33174,0.386048,0.461568
2097152,9.5646,15.4071,1.98336,0.542624,0.5976
4194304,18.0147,32.1761,4.28646,0.854976,0.642464
8388608,37.9479,63.2525,6.92064,3.15072,0.79872
16777216,76.2172,127.213,15.1668,2.8887,1.3056
33554432,144.37,257.22,22.2945,5.57114,2.28698
67108864,290.296,518.29,66.4499,11.0104,3.66182
16,0.0002,0.267264,0.104448,0.195584,0.165888
32,0.0003,0.226304,0.119808,0.287744,0.151552
64,0.0003,0.265216,0.13824,0.180224,0.175104
128,0.0002,0.262144,0.154624,0.180224,0.150528
256,0.0004,0.248832,0.181248,0.181248,0.16896
512,0.0006,0.264192,0.195584,0.214016,0.144384
1024,0.0005,0.602112,0.211968,0.18432,0.145408
2048,0.0023,0.222208,0.238592,0.169984,0.13312
4096,0.0043,0.342016,0.248832,0.146432,0.130048
8192,0.004,0.376832,0.273408,0.142336,0.11776
16384,0.0097,0.365568,0.28672,0.150528,0.690176
32768,0.0208,0.509952,0.301056,0.173056,0.144384
65536,0.0413,0.776192,0.325632,0.187392,0.101376
131072,0.6023,1.10285,0.359424,0.201728,0.497664
262144,1.1701,2.53133,0.390656,0.254976,0.816064
524288,2.3316,3.86253,0.687104,0.31232,0.405504
1048576,4.5272,8.01382,1.16224,0.385024,0.546816
2097152,11.1004,15.6433,2.3967,0.659456,0.591872
4194304,18.2146,32.155,3.52154,2.43894,0.729888
8388608,35.8752,63.5119,6.6185,1.52371,0.972192
16777216,72.4059,127.636,11.391,2.87437,1.19091
33554432,143.77,257.058,30.209,5.59309,2.12944
67108864,291.074,515.379,52.693,10.8844,3.57539
16,0.0001,0.214016,0.120832,0.202752,0.169984
32,0.0001,0.21504,0.116736,0.203776,0.17408
64,0.0003,0.2816,0.14336,0.17408,0.149504
128,0.0002,0.241664,0.149504,0.178176,0.152576
256,0.0003,0.206848,0.17408,0.202752,0.45568
512,0.0004,0.24064,0.195584,0.180224,0.169984
1024,0.0004,0.259072,0.205824,0.303104,0.202752
2048,0.001,0.210944,0.228352,0.150528,0.128
4096,0.002,0.485376,0.26624,0.152576,0.132096
8192,0.0037,0.311296,0.26624,0.156672,0.125952
16384,0.0091,0.407552,0.288768,0.214016,0.156672
32768,0.0202,0.510976,0.3072,0.1792,0.139168
65536,0.0412,0.668672,0.32768,0.181248,0.154624
131072,0.618,1.07418,0.356352,0.208896,0.603136
262144,1.2099,2.53338,0.454656,0.212736,0.494592
524288,3.0552,4.03331,0.729088,0.294912,0.498656
1048576,5.1888,7.58579,1.32762,0.653312,0.6
2097152,9.1319,15.6955,2.02803,0.513664,0.520192
4194304,18.9283,31.8595,4.11648,0.874496,0.617472
8388608,36.0894,64.1843,6.90854,1.59334,0.87216
16777216,77.5457,128.162,15.3042,2.88051,1.3783
33554432,147.57,258.466,22.1581,5.57254,2.1504
67108864,313.275,519.84,65.6624,10.9394,3.65702
16,0.0001,0.210944,0.105472,0.195584,0.167936
32,0.0002,0.222208,0.131072,0.181248,0.169984
64,0.0003,0.23552,0.139264,0.182272,0.149504
128,0.0002,0.251904,0.16896,0.18432,0.125952
256,0.0003,0.46592,0.182272,0.160768,0.144384
512,0.0003,0.290816,0.191488,0.203776,0.14848
1024,0.0014,0.249856,0.211968,0.177152,0.152576
2048,0.0011,0.534528,0.338944,0.15872,0.124928
4096,0.0043,0.273408,0.23552,0.154624,0.126976
8192,0.0034,0.33792,0.273408,0.246784,0.123904
16384,0.0105,0.351232,0.308224,0.172736,0.157696
32768,0.0212,0.470016,0.299008,0.178176,0.146432
65536,0.0407,0.883712,0.349184,0.218112,0.147456
131072,0.6191,1.07213,0.366592,0.212896,0.495616
262144,1.2383,2.27942,0.423936,0.22528,0.448512
524288,2.4101,3.97373,0.835584,0.308032,0.529408
1048576,4.6843,7.88445,1.30253,0.395264,0.7168
2097152,9.6028,15.7745,2.44122,0.508256,0.57856
4194304,20.7051,32.4172,3.41606,0.964576,
