Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
33554432,169.346,265.48,30.463,23.6435,2.02288
67108864,356.932,523.895,59.2435,11.03,3.61517
16,0.0001,0.19968,0.105472,0.172032,0.15872
32,0.0002,0.164864,0.118784,0.142336,0.114688
64,0.0001,0.185344,0.139264,0.172032,0.2048
128,0.0002,0.272384,0.152576,0.173056,0.152576
256,0.0003,0.457728,0.18944,0.20992,0.135168
512,0.0007,0.247808,0.216064,0.171008,0.190464
1024,0.0004,0.318464,0.21504,0.1792,0.144384
2048,0.0011,0.285696,0.35328,0.401408,0.118784
4096,0.0047,0.273408,0.408576,0.20992,0.14336
8192,0.004,0.320512,0.263168,0.14336,0.116736
16384,0.0097,0.349184,0.285696,0.177152,0.135008
32768,0.0239,0.4608,0.297984,0.15504,0.156672
65536,0.0446,0.644096,0.326656,0.224256,0.180704
131072,0.5995,1.16531,0.357376,0.179104,0.364064
262144,1.2068,2.13197,0.436224,0.191328,0.556032
524288,2.6112,3.97005,0.760832,0.311008,0.484736
1048576,5.1504,8.61731,1.39366,0.413344,0.5432
2097152,9.9889,15.8378,1.98349,0.6496,0.507552
4194304,20.1765,32.5631,5.11795,0.92672,0.729088
8388608,41.4065,67.585,6.86182,1.80838,0.801216
16777216,81.1794,134.546,14.4737,2.89837,2.59891
33554432,172.065,269.099,24.5309,5.62995,2.07603
67108864,347.421,534.582,65.2347,11.1258,3.66032
16,0.0001,0.231424,0.101376,0.1792,0.149504
32,0.0002,0.208896,0.139264,0.1792,0.155648
64,0.0002,0.234496,0.129024,0.172032,0.150528
128,0.0002,0.270336,0.169984,0.169984,0.16896
256,0.0003,0.287744,0.18944,0.292864,0.149504
512,0.0005,0.2048,0.206848,0.172032,0.167936
1024,0.0009,0.340992,0.211968,0.159744,0.134144
2048,0.003,0.2816,0.20992,0.150528,0.10752
4096,0.0043,0.303104,0.221184,0.150528,0.13312
8192,0.0083,0.388096,0.277504,0.151552,0.121856
16384,0.0092,0.354304,0.279552,0.217088,0.146432
32768,0.0201,0.44544,0.296288,0.2304,0.146848
65536,0.0436,0.669696,0.320512,0.177152,0.147904
131072,0.6002,1.05648,0.357376,0.185152,0.473088
262144,1.2429,2.05517,0.408576,0.225792,0.652288
524288,2.5267,4.23606,0.695296,0.310272,0.630784
1048576,5.9916,9.43002,1.37523,0.377856,0.781312
2097152,9.7162,16.0877,2.01114,0.543584,0.531456
4194304,19.3132,32.8376,3.32698,0.910848,0.627424
8388608,41.9817,66.9003,9.33069,1.74339,0.982784
