13,0.0001
29,0.0001
61,0.0001
125,0.0002
253,0.0002
509,0.0005
1021,0.0008
2045,0.0018
4093,0.003
8189,0.0047
16381,0.0083
32765,0.017
65533,0.0384
131069,0.6201
262141,1.2854
524285,2.4867
1048573,5.0989
2097149,10.2603
4194301,20.4964
8388605,40.3128
16777213,77.5941
33554429,160.059
67108861,310.585
13,0.0001
29,0.0002
61,0.0002
125,0.0003
253,0.0002
509,0.0006
1021,0.0011
2045,0.001
4093,0.0039
8189,0.0037
16381,0.0078
32765,0.0187
65533,0.0413
131069,0.6038
262141,1.1759
524285,2.7852
1048573,5.4708
2097149,9.4267
4194301,19.2171
8388605,37.7091
16777213,76.128
33554429,153.625
67108861,309.95
13,0.0001
29,0.0002
61,0.0001
125,0.0003
253,0.0002
509,0.0004
1021,0.0004
2045,0.0008
4093,0.0017
8189,0.0037
16381,0.0083
32765,0.0365
65533,0.0373
131069,0.6008
262141,1.3973
524285,2.435
1048573,4.7008
2097149,10.1406
4194301,19.2924
8388605,39.389
16777213,78.7847
33554429,157.191
67108861,306.106
13,0.0001
29,0.0001
61,0.0002
125,0.0001
253,0.0002
509,0.0007
1021,0.0004
2045,0.001
4093,0.0041
8189,0.0036
16381,0.0078
32765,0.0178
65533,0.0387
131069,0.6927
262141,1.5262
524285,2.4104
1048573,5.0729
2097149,10.3558
4194301,19.2896
8388605,37.8047
16777213,83.0659
33554429,156.668
67108861,306.02
13,0.0001
29,0.0001
61,0.0001
125,0.0001
253,0.0003
509,0.0007
1021,0.001
2045,0.0008
4093,0.002
8189,0.0034
16381,0.0079
32765,0.0344
65533,0.0422
131069,0.6041
262141,1.3412
524285,2.5412
1048573,5.2878
2097149,9.3535
4194301,19.1962
8388605,38.4629
16777213,77.8652
33554429,161.005
67108861,304.557
13,0.0001
29,0.0001
61,0.0001
125,0.0003
253,0.0003
509,0.0003
1021,0.0007
2045,0.0022
4093,0.0043
8189,0.0037
16381,0.0081
32765,0.0178
65533,0.0369
131069,0.7346
262141,1.2012
524285,2.4312
1048573,5.4446
2097149,9.6761
4194301,19.4252
8388605,37.4371
16777213,74.4498
33554429,154.131
67108861,305.85
13,0
29,0.0001
61,0.0001
125,0.0003
253,0.0005
509,0.0005
1021,0.0012
2045,0.0014
4093,0.0018
8189,0.0035
16381,0.0077
32765,0.0349
65533,0.0367
131069,0.604
262141,1.1701
524285,2.4101
1048573,4.7037
2097149,9.5182
4194301,18.8001
8388605,37.7161
16777213,77.7443
33554429,154.452
67108861,310.091
13,0.0001
29,0.0002
61,0.0001
125,0.0002
253,0.0004
509,0.0005
1021,0.0007
2045,0.0014
4093,0.0023
8189,0.0035
16381,0.0123
32765,0.0186
65533,0.0379
131069,0.6452
262141,1.1695
524285,2.3428
1048573,4.7599
2097149,10.4525
4194301,18.9709
8388605,40.6591
16777213,75.2794
33554429,156.137
67108861,308.847
13,0.0001
29,0.0001
61,0.0002
125,0.0002
253,0.0001
509,0.0004
1021,0.0005
2045,0.001
4093,0.0016
8189,0.0039
16381,0.0086
32765,0.0356
65533,0.0401
131069,0.7627
262141,1.2052
524285,2.6041
1048573,4.938
2097149,10.0049
4194301,18.611
8388605,38.8795
16777213,78.1883
33554429,161.037
67108861,307.197
13,0.0001
29,0.0001
61,0.0002
125,0.0002
253,0.0002
509,0.0003
1021,0.0005
2045,0.0009
4093,0.0018
8189,0.004
16381,0.0084
32765,0.0221
65533,0.0364
131069,0.6026
262141,1.2386
524285,2.3941
1048573,4.8338
2097149,10.2174
4194301,19.1884
8388605,37.7018
16777213,75.9132
33554429,157.19
67108861,310.586
13,0.0001
29,0.0001
61,0.0001
125,0.0002
253,0.0006
509,0.0006
1021,0.0012
2045,0.0019
4093,0.0023
8189,0.0034
16381,0.0078
32765,0.0325
65533,0.0363
131069,0.6136
262141,1.2441
524285,2.3998
1048573,4.7578
2097149,9.9385
4194301,19.1265
8388605,39.3726
16777213,76.2613
33554429,153.54
67108861,314.965
13,0.0001
29,0.0002
61,0.0002
125,0.0002
253,0.0002
509,0.0002
1021,0.0004
2045,0.001
4093,0.0019
8189,0.0036
16381,0.0072
32765,0.0181
65533,0.0379
131069,0.5852
262141,1.2507
524285,2.4329
1048573,4.8197
2097149,9.4813
4194301,19.5742
8388605,37.7021
16777213,81.8261
33554429,155.508
67108861,304.997
13,0.0001
29,0.0001
61,0.0003
125,0.0003
253,0.0005
509,0.0002
1021,0.0004
2045,0.0009
4093,0.0017
8189,0.0035
16381,0.0336
32765,0.0178
65533,0.0496
131069,0.749
262141,1.2079
524285,2.6494
1048573,5.1772
2097149,9.7953
4194301,19.5246
8388605,41.272
16777213,75.4757
33554429,153.352
67108861,311.401
13,0.0001
29,0.0001
61,0.0001
125,0.0002
253,0.0003
509,0.0005
1021,0.0005
2045,0.0008
4093,0.0025
8189,0.017
16381,0.0076
32765,0.0172
65533,0.0375
131069,0.7581
262141,1.2755
524285,2.563
1048573,5.2355
2097149,9.4288
4194301,19.1557
8388605,40.6577
16777213,76.0369
33554429,151.646
67108861,308.952
13,0.0001
29,0.0002
61,0.0002
125,0.0002
253,0.0003
509,0.0002
1021,0.0004
2045,0.0009
4093,0.0042
8189,0.0061
16381,0.023
32765,0.0166
65533,0.0788
131069,0.7151
262141,1.2076
524285,2.4517
1048573,5.1194
2097149,9.404
