13,0.0114
29,0.0051
61,0.0028
125,0.0092
253,0.0046
509,0.0147
1021,0.0097
2045,0.0155
4093,0.0268
8189,0.0883
16381,0.1664
32765,0.3246
65533,2.379
131069,1.3385
262141,2.5597
524285,7.4687
1048573,13.5241
2097149,23.0565
4194301,95.8414
8388605,193.395
16777213,385.13
33554429,755.448
67108861,1460.42
134217725,2912.36
13,0.0027
29,0.0071
61,0.0209
125,0.0088
253,0.0059
509,0.0464
1021,0.0224
2045,0.0472
4093,0.0425
8189,0.0779
16381,0.3436
32765,0.2904
65533,0.848
131069,1.3111
262141,3.0369
524285,5.0796
1048573,10.9716
2097149,21.3974
4194301,89.5675
8388605,176.263
16777213,375.681
33554429,758.883
67108861,1507.65
134217725,2951.6
13,0.0047
29,0.0204
61,0.003
125,0.019
253,0.0212
509,0.0125
1021,0.0142
2045,0.0475
4093,0.098
8189,0.12
16381,0.2552
32765,0.2866
65533,0.5574
131069,2.0262
262141,3.1683
524285,5.0057
1048573,11.1775
2097149,21.3271
4194301,98.7222
8388605,184.13
16777213,384.997
33554429,785.93
67108861,1490.99
134217725,2918.26
13,0.0026
29,0.0047
61,0.0209
125,0.0092
253,0.0114
509,0.0207
1021,0.047
2045,0.0217
4093,0.0472
8189,0.1791
16381,0.1877
32765,0.3148
65533,0.5593
131069,1.2133
262141,2.8389
524285,5.7486
1048573,10.6359
2097149,23.6569
4194301,100.289
8388605,188.321
16777213,362.526
33554429,736.482
67108861,1434.33
134217725,2887.84
13,0.0027
29,0.0068
61,0.0077
125,0.0142
253,0.0077
509,0.0251
1021,0.026
2045,0.0219
4093,0.1265
8189,0.1089
16381,0.1727
32765,0.3283
65533,0.6751
131069,1.2334
262141,2.7239
524285,5.1112
1048573,10.3636
2097149,22.2883
4194301,103.325
8388605,183.333
16777213,369.629
33554429,725.454
67108861,1452.92
134217725,2901.91
13,0.0027
29,0.0067
61,0.0204
125,0.0194
253,0.0116
509,0.0484
1021,0.0151
2045,0.0207
4093,0.0408
