Array Size,Thrust time (s),Radix sort time (s)
8189,0.0854,6.7328
16381,0.1604,6.98573
32765,0.6143,8.30669
65533,0.5747,6.13376
131069,1.2157,9.08595
262141,2.6067,18.7924
524285,4.9976,23.5766
1048573,10.2469,32.0164
2097149,21.4191,49.2534
4194301,94.6389,83.8205
8388605,186.556,151.207
16777213,362.014,293.922
33554429,744.193,575.659
67108861,1455.73,1140.21
134217725,2896.08,2255.87
13,0.0029,7.94214
29,0.0029,7.16698
61,0.0048,7.88992
125,0.0187,7.18234
253,0.0075,8.0599
509,0.0147,8.52275
1021,0.0126,7.36666
2045,0.0211,7.24787
4093,0.1484,6.80448
8189,0.1038,5.34323
16381,0.2156,7.84486
32765,0.3573,7.0144
65533,0.5589,6.82701
131069,1.2201,8.10086
262141,3.2876,19.4509
524285,5.7233,24.0701
1048573,10.5619,32.2028
2097149,21.0206,49.3148
4194301,95.8763,81.3824
8388605,185.738,153.004
16777213,365.602,293.323
33554429,729.446,574.128
67108861,1473.22,1140.68
134217725,2892.73,2262.44
13,0.0027,7.48237
29,0.0044,8.55654
61,0.0078,8.21862
125,0.0217,7.14035
253,0.0137,8.2903
509,0.0124,6.91917
1021,0.0129,8.72448
2045,0.0212,7.06662
4093,0.0568,7.31955
8189,0.0918,8.05683
16381,0.1605,6.98573
32765,0.3583,7.00518
65533,0.7411,7.46701
131069,1.3881,10.8206
262141,2.5451,19.2338
524285,5.7595,24.7583
1048573,11.6994,31.4952
2097149,20.9618,48.2314
4194301,93.4196,85.0412
8388605,185.552,147.374
16777213,368.447,294.211
33554429,721.794,579.452
67108861,1506.6,1133.35
134217725,2907.84,2260.76
13,0.0026,9.39315
29,0.0061,5.59923
61,0.0046,6.22387
125,0.0033,6.1225
253,0.0122,5.23366
509,0.0289,7.22432
1021,0.0315,8.17971
2045,0.0211,6.87002
4093,0.1085,6.71539
8189,0.0797,7.16083
16381,0.211,6.89766
32765,0.423,8.60877
65533,0.572,7.6073
131069,1.308,8.04966
262141,3.5266,18.4463
524285,5.6977,24.8402
1048573,11.1024,32.7168
2097149,23.8067,50.0029
4194301,94.3694,83.243
8388605,183.97,151.567
16777213,379.903,291.894
33554429,739.658,576.331
67108861,1463.36,1145.61
134217725,2911.9,2261.86
13,0.0031,6.89254
29,0.0067,7.28678
61,0.0078,6.78195
125,0.0082,6.55565
253,0.0133,7.16493
509,0.044,6.9591
1021,0.0318,6.76352
2045,0.0213,7.43322
4093,0.0436,7.02874
8189,0.1961,8.3753
16381,0.1746,6.08666
32765,0.3059,7.26733
65533,1.0127,7.23661
131069,1.3196,10.0157
262141,2.5251,19.1857
524285,5.5541,24.9682
1048573,10.7449,30.4159
2097149,20.8959,47.871
4194301,93.1581,86.6867
8388605,185.728,154.329
16777213,363.414,300.473
33554429,745.773,573.888
67108861,1447.17,1142.58
134217725,2915.98,2260.23
13,0.0027,6.83315
29,0.0201,6.6775
61,0.0049,6.09075
125,0.0083,4.84659
253,0.0076,4.42778
509,0.037,7.53869
1021,0.0216,9.31635
2045,0.0523,7.55405
4093,0.0421,7.34413
8189,0.1264,8.43571
16381,0.1458,4.59469
32765,0.4382,7.3257
65533,0.5776,7.94214
131069,1.2783,9.34707
262141,4.0156,16.4946
524285,5.7501,22.7246
1048573,10.4437,30.8316
2097149,22.4876,49.8627
4194301,96.599,84.2557
8388605,187.221,151.539
16777213,367.982,291.34
33554429,739.931,573.758
67108861,1457.81,1129.3
134217725,2894.23,2261.74
13,0.0043,8.48691
29,0.0059,6.61402
61,0.003,6.9888
125,0.0033,7.64723
253,0.0333,5.59718
509,0.0126,7.7568
1021,0.0135,7.3625
2045,0.021,7.94931
4093,0.0388,7.89606
8189,0.1218,7.74246
16381,0.2423,6.81779
32765,0.284,7.19155
65533,0.5547,7.71072
131069,1.2148,10.0076
262141,2.9474,20.6152
524285,5.4012,24.3937
1048573,10.5098,32.7905
2097149,20.9003,50.9983
4194301,93.8721,81.6486
8388605,183.204,152.751
16777213,363.751,290.902
33554429,735.198,577.519
67108861,1459.99,1146.02
134217725,2890.21,2263.31
13,0.0026,7.02157
29,0.0045,6.8055
61,0.0076,7.56941
125,0.0084,8.10291
253,0.0122,4.31514
509,0.0292,6.784
1021,0.0183,6.6263
2045,0.021,9.68602
4093,0.0423,8.10291
8189,0.0939,7.50285
16381,0.1642,7.37382
32765,0.4068,7.61344
65533,0.5689,5.57056
131069,1.3052,9.77408
262141,2.6576,19.1078
524285,6.239,23.3452
1048573,10.6844,30.764
2097149,21.0014,48.1454
4194301,91.9386,83.2512
8388605,182.728,153.048
16777213,366.573,293.258
33554429,740.525,576.372
67108861,1455.63,1144.15
134217725,2904.9,2250.91
13,0.005,7.04205
29,0.0205,6.64883
61,0.0047,6.45837
125,0.0081,6.87411
253,0.0248,6.55462
509,0.0179,6.49011
1021,0.0379,6.73792
2045,0.0216,6.69798
4093,0.0616,7.88992
8189,0.0929,7.34003
16381,0.1443,7.97594
32765,0.4443,6.82496
65533,1.3369,7.89914
131069,1.3803,9.87443
262141,2.4476,19.9311
524285,6.0599,22.911
1048573,11.0132,32.3686
2097149,21.0805,48.3185
4194301,93.5092,83.4847
8388605,188.566,152.647
16777213,363.209,295.843
33554429,742.652,574.649
67108861,1519.32,1137.08
134217725,2894.94,2266.3
13,0.0026,6.59149
29,0.016,8.62413
61,0.0076,7.51104
125,0.0085,7.32365
253,0.0086,7.42298
509,0.0222,7.73837
