Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
32,0.0003,0.49664,0.584704,0.589824,0.530432
64,0.0002,0.46592,0.631808,0.644096,0.626688
128,0.0002,0.514048,0.52736,0.638976,0.591872
256,0.0003,0.489472,0.672768,0.630784,0.594944
512,0.0003,0.500736,0.606208,0.579584,0.720896
1024,0.0014,0.72704,0.636928,0.57344,0.550912
2048,0.0011,0.550912,0.673792,0.632832,0.621568
4096,0.0023,0.589824,0.705536,0.649216,0.632832
8192,0.0036,0.969728,0.789504,0.6912,0.644096
16384,0.0345,0.731136,1.024,1.07725,0.797696
32768,0.0315,0.973824,1.17555,0.980992,0.946176
65536,0.0401,1.41517,1.64557,1.47046,1.46022
131072,0.5855,2.24768,2.49958,2.95014,3.06995
262144,1.1683,4.25779,4.05606,4.59162,4.91213
524288,2.4722,8.47258,7.78547,7.76397,7.98106
1048576,4.4368,15.5873,15.2474,14.0022,15.1757
2097152,9.2444,29.5209,28.6106,27.7811,27.134
4194304,18.1786,58.1868,56.9999,54.3314,54.1645
8388608,38.9367,114.802,111.565,105.608,106.109
16777216,73.1124,229.404,224.024,211.634,211.24
33554432,148.591,466.807,435.956,423.438,420.684
67108864,291.12,938.063,899.405,850.311,843.903
16,0,0.51712,0.625664,0.763904,0.765952
32,0.0003,0.463872,0.763904,0.813056,0.768
64,0.0001,0.468992,0.820224,0.764928,0.736256
128,0.0003,0.48128,0.801792,0.690176,0.755712
256,0.0004,0.53248,0.693248,0.8192,1.0025
512,0.0003,0.800768,0.6144,0.769024,0.68096
1024,0.0012,0.644096,0.851968,0.733184,0.724992
2048,0.0011,0.683008,0.90112,0.836608,0.68608
4096,0.0039,0.569344,0.894976,0.799744,0.785408
8192,0.0036,0.915456,0.900096,0.771072,0.841728
16384,0.0098,0.739328,1.1049,1.22061,0.896
32768,0.0178,0.94208,1.30765,1.12742,1.09773
65536,0.04,1.54522,1.65786,1.50016,1.52474
131072,0.7182,2.19136,2.48218,2.49446,3.08736
262144,1.1691,4.58854,4.09088,4.55987,5.25722
524288,2.2631,8.21555,7.9575,7.51718,8.0343
1048576,4.683,15.3805,14.7405,15.0292,14.5224
2097152,9.4421,30.9412,30.1681,27.7944,28.2112
4194304,20.2012,57.943,55.254,54.1624,54.9632
8388608,37.2257,116.359,110.085,106.31,107.319
16777216,75.8632,231.536,220.304,209.192,210.239
33554432,144.02,465.847,446.1,425.193,420.709
67108864,293.347,938.596,887.123,849.304,848.756
16,0.0001,0.45056,0.596992,0.65024,0.591872
32,0.0002,0.461824,0.561152,0.591872,0.535552
